t,x,y,z,true_grade_deg,grade_deg,camber_deg,grade_conf,roughness_deg,calibrated,disagreement_deg,est_stamp,tau,mu_lower,mu_sched_input,established,saturated,grade_level,traction_level,grade_msg,traction_msg,withdrawn,b3_engaged,b3_throttle,b3_lateral,b3_fallback_rate
0.0,-2.0,0.0,-0.0,0.0,-0.000,-0.000,1.000,0.000,True,0.000,18.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,wheel speed below the traction-demand floor,0,0,0.5,3.0,0.0
0.1,-1.9931,0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,wheel speed below the traction-demand floor,0,0,0.5,3.0,0.0
0.2,-1.9664,0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.280,-0.0000,0.0000,0.3500,False,True,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.3,-1.9231,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.380,0.0000,0.0000,0.3500,False,True,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.4,-1.8781,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.5,-1.8331,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.6,-1.7881,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.7,-1.7431,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.8,-1.6981,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.9,-1.6531,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.0,-1.6081,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.1,-1.5631,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.2,-1.5181,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.3,-1.4731,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.4,-1.4285,-0.0,0.0016,0.0,0.000,0.000,1.000,0.000,True,0.000,19.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.5,-1.3953,-0.0,0.0088,0.0,0.239,0.000,0.360,0.224,True,0.472,19.580,0.0008,0.0008,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.6,-1.3531,-0.0,0.0182,0.0,1.376,0.000,0.354,1.209,True,0.454,19.680,0.0048,0.0048,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.7,-1.3105,-0.0,0.0281,0.0,3.302,0.000,0.254,2.718,True,0.478,19.780,0.0121,0.0121,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.8,-1.2687,-0.0,0.0382,0.0,5.878,0.000,0.116,4.536,True,0.512,19.880,0.0237,0.0237,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.9,-1.2299,-0.0,0.05,0.0,8.979,0.000,0.000,6.496,True,0.558,19.980,0.0423,0.0423,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.0,-1.191,-0.0,0.069,0.0,12.019,0.000,0.000,8.038,True,0.035,20.080,0.0846,0.0846,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.1,-1.1506,-0.0,0.0888,0.0,14.515,0.000,0.000,8.821,True,0.033,20.180,0.1126,0.1126,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.2,-1.1102,-0.0,0.1085,0.0,16.563,0.000,0.000,9.069,True,0.031,20.280,0.1429,0.1429,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.3,-1.0778,-0.0,0.1243,0.0,18.246,0.000,0.000,8.947,True,0.030,20.380,0.1741,0.1741,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.4,-1.0374,-0.0,0.144,0.0,19.628,0.000,0.000,8.581,True,0.029,20.480,0.2048,0.2048,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.5,-0.9969,-0.0,0.1638,0.0,20.763,0.000,0.000,8.061,True,0.029,20.580,0.2344,0.2344,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.6,-0.9565,-0.0,0.1835,0.0,21.696,0.000,0.000,7.453,True,0.029,20.680,0.2622,0.2622,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.7,-0.916,-0.0,0.2032,0.0,22.463,0.000,0.000,6.807,True,0.029,20.780,0.2881,0.2881,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.8,-0.8756,-0.0,0.2229,0.0,23.093,0.000,0.000,6.154,True,0.029,20.880,0.3119,0.3119,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.9,-0.8351,-0.0,0.2427,0.0,23.611,0.000,0.107,5.518,True,0.029,20.980,0.3335,0.3335,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.0,-0.8028,-0.0,0.2585,0.0,23.611,0.000,0.107,5.518,True,0.029,20.980,0.3335,0.3335,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.1,-0.7623,-0.0,0.2782,0.0,24.036,0.000,0.242,4.913,True,0.029,21.080,0.3529,0.3529,0.3529,True,False,1,0,body pitch is scattering too much to be the surface,mu bounded below by the observed demand,0,0,0.5,3.0,0.0
3.2,-0.7219,-0.0,0.2979,0.0,24.386,0.000,0.367,4.348,True,0.029,21.180,0.3703,0.3703,0.3703,True,False,0,0,grade estimate valid,mu bounded below by the observed demand,0,1,0.6384,6.0,0.0
3.3,-0.6814,-0.0,0.3176,0.0,24.673,0.000,0.482,3.829,True,0.028,21.280,0.3858,0.3858,0.3858,True,False,0,0,grade estimate valid,mu bounded below by the observed demand,0,1,0.6295,6.0,0.0
3.4,-0.641,-0.0,0.3374,0.0,24.910,0.000,0.587,3.357,True,0.028,21.380,0.3995,0.3995,0.3995,True,False,0,0,grade estimate valid,mu bounded below by the observed demand,0,1,0.6217,6.0,0.0
