colour,standoff_cmd,lateral_cmd,frames,detected,result,frame,id,score,est_x,est_y,est_z,gt_x,gt_y,gt_z,dx,dy,dz,err_norm,err_horizontal,err_vertical,spread_x,spread_y,status
red,0.28,0.0,12,12,OK,base_footprint,target_red,0.0706,0.28409,0.00036,0.07475,0.27999,-0.0,0.079,0.00409,0.00036,-0.00425,0.00591,0.00411,0.00425,0.0,0.0,sel=red validity=VALID u=160 v=111 area=6260 w=28 range=0.1591 x=0.2841 y=+0.0004 z=0.0747 gx=0.2841 gy=+0.0004 gz=0.1280 qual=0.0706 spread=0.0000 cand=1 seen=red frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.1303 lateral=+0.0004
red,0.35,0.0,12,12,OK,base_footprint,target_red,1.0,0.34905,0.00051,0.07977,0.34999,-0.0,0.079,-0.00094,0.00051,0.00077,0.00131,0.00107,0.00077,0.0,0.0,sel=red validity=VALID u=160 v=109 area=3226 w=20 range=0.2241 x=0.3491 y=+0.0005 z=0.0798 gx=0.3491 gy=+0.0005 gz=0.1280 qual=1.0000 spread=0.0009 cand=1 seen=red frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.1953 lateral=+0.0005
red,0.5,0.0,12,12,OK,base_footprint,target_red,1.0,0.49892,0.00084,0.07974,0.49999,0.0,0.079,-0.00108,0.00084,0.00074,0.00156,0.00137,0.00074,0.0,0.0,sel=red validity=VALID u=160 v=113 area=1144 w=12 range=0.3739 x=0.4989 y=+0.0008 z=0.0797 gx=0.4989 gy=+0.0008 gz=0.1280 qual=1.0000 spread=0.0008 cand=1 seen=red frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.3452 lateral=+0.0008
red,0.7,0.0,12,12,OK,base_footprint,target_red,1.0,0.69956,0.0013,0.08016,0.69999,0.0,0.079,-0.00043,0.0013,0.00116,0.00179,0.00137,0.00116,0.0,0.0,sel=red validity=VALID u=160 v=116 area=496 w=8 range=0.5746 x=0.6996 y=+0.0013 z=0.0802 gx=0.6996 gy=+0.0013 gz=0.1280 qual=1.0000 spread=0.0011 cand=1 seen=red frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.5458 lateral=+0.0013
red,0.9,0.0,12,12,OK,base_footprint,target_red,1.0,0.89948,0.00175,0.08072,0.89999,0.0,0.079,-0.00051,0.00175,0.00172,0.00251,0.00182,0.00172,0.0,0.0,"sel=red validity=VALID u=160 v=116 area=276 w=6 range=0.7745 x=0.8995 y=+0.0017 z=0.0807 gx=0.8995 gy=+0.0017 gz=0.1280 qual=1.0000 spread=0.0013 cand=1 seen=red,green frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.7457 lateral=+0.0017"
green,0.28,0.0,12,12,OK,base_footprint,target_green,0.0579,0.28545,0.00036,0.07441,0.27999,0.0,0.079,0.00546,0.00036,-0.00459,0.00714,0.00547,0.00459,0.0,0.0,sel=green validity=VALID u=160 v=112 area=7638 w=34 range=0.1605 x=0.2855 y=+0.0004 z=0.0744 gx=0.2855 gy=+0.0004 gz=0.1280 qual=0.0579 spread=0.0000 cand=1 seen=green frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.1317 lateral=+0.0004
green,0.35,0.0,12,12,OK,base_footprint,target_green,1.0,0.34889,0.0005,0.08003,0.34999,0.0,0.079,-0.0011,0.0005,0.00103,0.00159,0.00121,0.00103,0.0,0.0,sel=green validity=VALID u=160 v=109 area=3900 w=24 range=0.2239 x=0.3489 y=+0.0005 z=0.0800 gx=0.3489 gy=+0.0005 gz=0.1280 qual=1.0000 spread=0.0012 cand=1 seen=green frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.1951 lateral=+0.0005
green,0.5,0.0,12,12,OK,base_footprint,target_green,1.0,0.49913,0.00084,0.08007,0.49999,0.0,0.079,-0.00087,0.00084,0.00107,0.00161,0.00121,0.00107,0.0,0.0,sel=green validity=VALID u=160 v=113 area=1346 w=14 range=0.3741 x=0.4991 y=+0.0008 z=0.0801 gx=0.4991 gy=+0.0008 gz=0.1280 qual=1.0000 spread=0.0013 cand=1 seen=green frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.3454 lateral=+0.0008
green,0.7,0.0,12,12,OK,base_footprint,target_green,1.0,0.69946,0.0013,0.08016,0.69999,0.0,0.079,-0.00054,0.0013,0.00116,0.00182,0.0014,0.00116,0.0,0.0,sel=green validity=VALID u=160 v=116 area=620 w=10 range=0.5745 x=0.6995 y=+0.0013 z=0.0802 gx=0.6995 gy=+0.0013 gz=0.1280 qual=1.0000 spread=0.0017 cand=1 seen=green frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.5457 lateral=+0.0013
green,0.9,0.0,12,12,OK,base_footprint,target_green,1.0,0.89882,0.00174,0.08071,0.89999,0.0,0.079,-0.00118,0.00174,0.00171,0.00271,0.0021,0.00171,0.0,0.0,"sel=green validity=VALID u=160 v=116 area=276 w=6 range=0.7738 x=0.8988 y=+0.0017 z=0.0807 gx=0.8988 gy=+0.0017 gz=0.1280 qual=1.0000 spread=0.0011 cand=1 seen=red,green,blue frame=base_footprint tf_age=0.0000 reach=OUT_OF_WORKSPACE reach_appr=REACHABLE drive=+0.7451 lateral=+0.0017"
