t_wall,t_sim,tag,state,verdict,reason,degraded,healthy,held,d,near,beams,mapped,sigma,mo_age,arb_mode,arb_active,wheel_vx,wheel_wz,gt_x,gt_y,gt_yaw
22027.159,0.000,exp2f,IDLE,--,--,--,--,--,--,--,--,--,--,--,--,--,nan,nan,-2.0003,0.0000,0.0000
22027.166,0.014,exp2f,IDLE,--,--,--,--,--,--,--,--,--,--,--,--,--,nan,nan,-2.0003,0.0000,0.0000
22027.267,0.114,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,--,--,nan,nan,-2.0003,0.0000,0.0000
22027.375,0.214,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22027.477,0.314,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22027.581,0.414,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22027.681,0.514,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22027.782,0.614,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22027.881,0.714,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22027.986,0.814,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.088,0.914,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.186,1.014,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.290,1.116,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.387,1.214,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.489,1.316,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.586,1.414,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.689,1.516,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.786,1.614,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.886,1.714,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22028.988,1.814,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.089,1.914,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.195,2.014,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.297,2.114,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.398,2.214,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.497,2.314,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.596,2.414,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.702,2.514,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.803,2.614,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22029.904,2.714,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.004,2.814,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.121,2.914,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.223,3.014,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.330,3.114,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.430,3.214,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.537,3.314,exp2f,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.636,3.414,exp2f,LOCALIZE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.745,3.514,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22030.845,3.614,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,nav,none,0.1250,-0.0769,-1.9986,-0.0001,-0.0010
22030.949,3.714,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.015,0.983,60,1,0.000,-0.40,nav,none,0.2500,-0.0769,-1.9849,-0.0005,-0.0057
22031.056,3.814,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,nav,none,0.2526,-0.0769,-1.9554,-0.0015,-0.0136
22031.151,3.914,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.012,0.983,60,1,0.000,-0.40,nav,none,0.2368,0.0256,-1.9358,-0.0021,-0.0168
22031.257,4.014,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.010,0.983,60,1,0.000,-0.40,nav,none,0.3000,0.0769,-1.9106,-0.0023,-0.0143
22031.353,4.114,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.010,0.983,60,1,0.000,-0.40,nav,nav,0.3000,0.0256,-1.8806,-0.0021,-0.0088
22031.458,4.216,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.012,0.983,60,1,0.000,-0.40,nav,nav,0.2842,0.0256,-1.8455,-0.0021,-0.0056
22031.553,4.314,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.008,0.983,60,1,0.000,-0.40,nav,nav,0.3000,0.0256,-1.8220,-0.0020,-0.0035
22031.660,4.414,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.008,0.983,60,1,0.000,-0.40,nav,nav,0.2842,0.0256,-1.7928,-0.0019,-0.0009
22031.753,4.514,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.007,1.000,60,1,0.000,-0.40,nav,nav,0.2684,0.0256,-1.7652,-0.0016,0.0017
22031.860,4.614,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.009,1.000,60,1,0.000,-0.40,nav,nav,0.2526,0.0256,-1.7391,-0.0013,0.0044
22031.960,4.714,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.007,1.000,60,1,0.000,-0.40,nav,nav,0.2368,0.0256,-1.7146,-0.0010,0.0070
22032.060,4.814,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.007,1.000,60,1,0.117,-0.40,nav,nav,0.2211,0.0256,-1.6917,-0.0006,0.0096
22032.160,4.914,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.011,0.983,60,1,0.117,-0.40,nav,nav,0.3000,0.1795,-1.6676,-0.0000,0.0128
22032.260,5.014,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.009,0.983,60,1,0.117,-0.40,nav,nav,0.2842,0.1795,-1.6385,0.0021,0.0302
22032.362,5.114,exp2f,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.014,1.000,60,1,0.117,-0.40,nav,nav,0.3000,0.1282,-1.6094,0.0046,0.0463
