t_wall,t_sim,tag,state,verdict,reason,degraded,healthy,held,d,near,beams,mapped,sigma,mo_age,arb_mode,arb_active,wheel_vx,wheel_wz,gt_x,gt_y,gt_yaw
22543.526,0.000,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,--,--,nan,nan,-2.0003,0.0000,0.0000
22543.614,0.066,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22543.763,0.166,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22543.933,0.266,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22544.096,0.370,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22544.233,0.466,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22544.401,0.566,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22544.573,0.666,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22544.742,0.766,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22544.926,0.866,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22545.123,0.966,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22545.300,1.066,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22545.501,1.166,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22545.656,1.266,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22545.776,1.366,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22545.894,1.466,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22546.015,1.566,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22546.149,1.666,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22546.257,1.766,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22546.430,1.866,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22546.582,1.966,exp2g,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22546.713,2.066,exp2g,LOCALIZE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
22546.906,2.166,exp2g,NAVIGATE_TO_RAMP,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0003,0.0000,0.0000
