t_wall,t_sim,tag,state,verdict,reason,degraded,healthy,held,d,near,beams,mapped,sigma,mo_age,arb_mode,arb_active,wheel_vx,wheel_wz,gt_x,gt_y,gt_yaw
11609.195,0.000,exp1,--,--,--,--,--,--,--,--,--,--,--,--,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.201,0.008,exp1,--,--,--,--,--,--,--,--,--,--,--,--,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.303,0.108,exp1,--,STALE,POSE_STALE,1,0,42.40,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.401,0.208,exp1,IDLE,STALE,POSE_STALE,1,0,42.50,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.511,0.314,exp1,IDLE,STALE,POSE_STALE,1,0,42.60,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.601,0.408,exp1,IDLE,STALE,POSE_STALE,1,0,42.70,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.716,0.508,exp1,IDLE,STALE,POSE_STALE,1,0,42.80,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.814,0.608,exp1,IDLE,STALE,POSE_STALE,1,0,42.90,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11609.928,0.708,exp1,IDLE,STALE,POSE_STALE,1,0,43.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11610.030,0.808,exp1,IDLE,STALE,POSE_STALE,1,0,43.10,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11610.146,0.908,exp1,IDLE,STALE,POSE_STALE,1,0,43.20,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
11610.246,1.008,exp1,IDLE,STALE,POSE_STALE,1,0,43.30,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
