t_wall,t_sim,tag,state,verdict,reason,degraded,healthy,held,d,near,beams,mapped,sigma,mo_age,arb_mode,arb_active,wheel_vx,wheel_wz,gt_x,gt_y,gt_yaw
22965.605,0.000,exp4,IDLE,--,--,--,--,--,--,--,--,--,--,--,--,--,nan,nan,-2.0000,0.0000,0.0000
22965.617,0.014,exp4,IDLE,--,--,--,--,--,--,--,--,--,--,--,--,--,nan,nan,-2.0000,0.0000,0.0000
22965.725,0.114,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,--,--,nan,nan,-2.0000,0.0000,0.0000
22965.839,0.214,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,--,--,nan,nan,-2.0000,0.0000,0.0000
22965.972,0.314,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,--,--,nan,nan,-2.0000,0.0000,0.0000
22966.118,0.414,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22966.256,0.514,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22966.408,0.614,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22966.542,0.714,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22966.707,0.814,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22966.842,0.914,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22967.017,1.014,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22967.152,1.114,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22967.307,1.214,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22967.454,1.314,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
22967.621,1.414,exp4,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
