t_wall,t_sim,rtf,state,tag,amcl_x,amcl_y,amcl_yaw,amcl_cxx,amcl_cyy,amcl_caa,amcl_age,amcl_n,mo_x,mo_y,mo_yaw,mo_age,mo_step,odom_x,odom_y,odom_yaw,odom_vx,odom_wz,odom_age,lik_mean_d,lik_p90_d,lik_frac_near,lik_n,scan_age,hz_cmd_nav,hz_cmd_smoothed,hz_cmd_out,hz_cmd_wheels,wheel_vx,wheel_wz,hz_scan,hz_amcl,hz_odom,cm_action,cm_polygon,hz_cm,nav_status,plan_n,plan_len,goal_x,goal_y,gt_x,gt_y,gt_yaw,gt_age
0.236,0.000,nan,--,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.214,1,0.0006,-0.0000,-0.0000,-0.486,nan,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.004,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,11.90,1.00,54.35,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.014
0.335,0.100,1.008,--,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.314,1,0.0006,-0.0000,-0.0000,-0.486,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.004,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.53,1.00,52.63,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.014
0.435,0.196,0.984,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.410,1,0.0006,-0.0000,-0.0000,-0.390,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.020,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.64,1.00,51.85,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
0.535,0.296,0.990,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.510,1,0.0006,-0.0000,-0.0000,-0.490,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.000,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.31,1.00,51.28,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
0.635,0.396,0.992,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.610,1,0.0006,-0.0000,-0.0000,-0.390,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.020,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.31,1.00,51.06,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
0.736,0.496,0.993,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.710,1,0.0006,-0.0000,-0.0000,-0.390,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.000,0.0158,0.0500,1.0000,60,0.110,0.00,0.00,0.00,0.00,nan,nan,10.04,1.00,50.85,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
0.836,0.596,0.994,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.810,1,0.0006,-0.0000,-0.0000,-0.390,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.020,0.0158,0.0500,1.0000,60,0.110,0.00,0.00,0.00,0.00,nan,nan,10.10,1.00,50.75,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
0.936,0.696,0.994,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,26.910,1,0.0006,-0.0000,-0.0000,-0.390,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.020,0.0158,0.0500,1.0000,60,0.110,0.00,0.00,0.00,0.00,nan,nan,10.00,1.00,50.52,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
1.035,0.786,0.983,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.000,1,0.0006,-0.0000,-0.0000,-0.400,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.100,0.00,0.00,0.00,0.00,nan,nan,10.13,1.00,50.57,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.000
1.136,0.886,0.985,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.100,1,0.0006,-0.0000,-0.0000,-0.400,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.100,0.00,0.00,0.00,0.00,nan,nan,10.16,1.00,50.52,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.020
1.236,0.986,0.986,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.200,1,0.0006,-0.0000,-0.0000,-0.400,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.010,0.0158,0.0500,1.0000,60,0.100,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.020
1.336,1.082,0.984,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.296,1,0.0006,-0.0000,-0.0000,-0.404,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.006,0.0158,0.0500,1.0000,60,0.096,0.00,0.00,0.00,0.00,nan,nan,10.07,0.00,50.00,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.016
1.436,1.182,0.984,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.396,1,0.0006,-0.0000,-0.0000,-0.404,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.008,0.0158,0.0500,1.0000,60,0.096,0.00,0.00,0.00,0.00,nan,nan,9.96,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.016
1.535,1.276,0.978,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.490,1,0.0006,-0.0000,-0.0000,-0.410,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.020,0.0158,0.0500,1.0000,60,0.090,0.00,0.00,0.00,0.00,nan,nan,10.02,0.00,50.62,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
1.636,1.376,0.978,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.590,1,0.0006,-0.0000,-0.0000,-0.410,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.020,0.0158,0.0500,1.0000,60,0.090,0.00,0.00,0.00,0.00,nan,nan,10.11,0.00,49.90,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.010
1.735,1.472,0.976,IDLE,diverged2,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.686,1,0.0006,-0.0000,-0.0000,-0.414,0.00000,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.018,0.0158,0.0500,1.0000,60,0.086,0.00,0.00,0.00,0.00,nan,nan,10.09,0.00,50.10,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,0.006
