t_wall,t_sim,rtf,state,tag,amcl_x,amcl_y,amcl_yaw,amcl_cxx,amcl_cyy,amcl_caa,amcl_age,amcl_n,mo_x,mo_y,mo_yaw,mo_age,mo_step,odom_x,odom_y,odom_yaw,odom_vx,odom_wz,odom_age,lik_mean_d,lik_p90_d,lik_frac_near,lik_n,scan_age,hz_cmd_nav,hz_cmd_smoothed,hz_cmd_out,hz_cmd_wheels,wheel_vx,wheel_wz,hz_scan,hz_amcl,hz_odom,cm_action,cm_polygon,hz_cm,nav_status,plan_n,plan_len,goal_x,goal_y,gt_x,gt_y,gt_yaw,gt_age
0.226,0.000,nan,--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142751.914,1,0.0006,-0.0000,-0.0000,1788142725.514,nan,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.004,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,1.00,1.00,46.60,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142725.994
0.326,0.100,1.000,--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.014,1,0.0006,-0.0000,-0.0000,1788142725.514,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.004,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.86,1.00,46.94,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.014
0.426,0.200,1.000,--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.114,1,0.0006,-0.0000,-0.0000,1788142725.514,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.004,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.75,1.00,47.59,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.014
0.526,0.300,1.000,--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.214,1,0.0006,-0.0000,-0.0000,1788142725.614,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.024,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.82,1.00,48.21,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.014
0.626,0.401,1.000,state=IDLE prev=-- event=run elapsed=36.2 timeout=-- attempt=1 retries=0 owner=nobody mode=idle reason=-- result=--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.314,1,0.0006,-0.0000,-0.0000,1788142725.614,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.024,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.66,1.00,47.87,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.014
0.726,0.500,1.000,state=IDLE prev=-- event=run elapsed=36.2 timeout=-- attempt=1 retries=0 owner=nobody mode=idle reason=-- result=--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.414,1,0.0006,-0.0000,-0.0000,1788142725.614,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.024,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.66,1.00,48.31,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.014
0.826,0.600,1.000,state=IDLE prev=-- event=run elapsed=36.2 timeout=-- attempt=1 retries=0 owner=nobody mode=idle reason=-- result=--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.513,1,0.0006,-0.0000,-0.0000,1788142725.613,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.029,0.0158,0.0500,1.0000,60,1788142726.114,0.00,0.00,0.00,0.00,nan,nan,9.51,1.00,48.26,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.013
0.927,0.701,1.000,state=IDLE prev=-- event=run elapsed=36.2 timeout=-- attempt=1 retries=0 owner=nobody mode=idle reason=-- result=--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.615,1,0.0006,-0.0000,-0.0000,1788142725.615,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.025,0.0158,0.0500,1.0000,60,1788142726.116,0.00,0.00,0.00,0.00,nan,nan,9.69,1.00,48.45,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.015
1.027,0.801,1.000,state=IDLE prev=-- event=run elapsed=36.2 timeout=-- attempt=1 retries=0 owner=nobody mode=idle reason=-- result=--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.714,1,0.0006,-0.0000,-0.0000,1788142725.614,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.024,0.0158,0.0500,1.0000,60,1788142726.115,0.00,0.00,0.00,0.00,nan,nan,9.60,1.00,48.49,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.014
1.127,0.901,1.000,state=IDLE prev=-- event=run elapsed=36.6 timeout=-- attempt=1 retries=0 owner=nobody mode=idle reason=-- result=--,healthy1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1788142752.815,1,0.0006,-0.0000,-0.0000,1788142725.615,0.00000,-0.0006,-0.0000,0.0000,-0.0000,-0.0000,1788142726.025,0.0158,0.0500,1.0000,60,1788142726.116,0.00,0.00,0.00,0.00,nan,nan,9.69,1.00,48.65,--,--,0.00,--,0,nan,nan,nan,-2.0000,0.0000,0.0000,1788142726.015
