t_wall,t_sim,rtf,state,tag,amcl_x,amcl_y,amcl_yaw,amcl_cxx,amcl_cyy,amcl_caa,amcl_age,amcl_n,mo_x,mo_y,mo_yaw,mo_age,mo_step,odom_x,odom_y,odom_yaw,odom_vx,odom_wz,odom_age,lik_mean_d,lik_p90_d,lik_frac_near,lik_n,scan_age,hz_cmd_nav,hz_cmd_smoothed,hz_cmd_out,hz_cmd_wheels,wheel_vx,wheel_wz,hz_scan,hz_amcl,hz_odom,cm_action,cm_polygon,hz_cm,nav_status,plan_n,plan_len,goal_x,goal_y,gt_x,gt_y,gt_yaw,gt_age
0.280,0.000,nan,--,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.068,1,0.0006,-0.0000,-0.0000,-0.432,nan,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.018,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,1.00,1.00,54.05,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.008
0.381,0.102,1.015,--,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.170,1,0.0006,-0.0000,-0.0000,-0.430,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.020,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.43,1.00,51.14,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.010
0.481,0.194,0.970,--,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.262,1,0.0006,-0.0000,-0.0000,-0.438,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.012,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.90,1.00,51.09,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.002
0.581,0.294,0.980,IDLE,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.362,1,0.0006,-0.0000,-0.0000,-0.438,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.012,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,9.87,1.00,50.80,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.002
0.680,0.388,0.970,IDLE,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.456,1,0.0006,-0.0000,-0.0000,-0.444,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.006,nan,nan,nan,0,nan,0.00,0.00,0.00,0.00,nan,nan,10.00,1.00,50.63,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.016
0.780,0.486,0.973,IDLE,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.554,1,0.0006,-0.0000,-0.0000,-0.446,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.054,0.00,0.00,0.00,0.00,nan,nan,10.00,1.00,50.52,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.014
0.881,0.586,0.977,IDLE,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.654,1,0.0006,-0.0000,-0.0000,-0.446,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.054,0.00,0.00,0.00,0.00,nan,nan,9.97,1.00,50.45,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.014
0.980,0.686,0.980,IDLE,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.754,1,0.0006,-0.0000,-0.0000,-0.446,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.054,0.00,0.00,0.00,0.00,nan,nan,9.94,1.00,50.39,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.014
1.080,0.786,0.983,IDLE,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.854,1,0.0006,-0.0000,-0.0000,-0.446,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.054,0.00,0.00,0.00,0.00,nan,nan,9.95,1.00,50.34,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.014
1.181,0.886,0.984,IDLE,obstacle1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.954,1,0.0006,-0.0000,-0.0000,-0.446,0.00000,-0.0006,-0.0000,0.0000,0.0000,0.0000,0.004,0.0158,0.0500,1.0000,60,0.054,0.00,0.00,0.00,0.00,nan,nan,9.98,1.00,50.31,--,--,0.00,--,0,nan,nan,nan,-2.0003,0.0000,0.0000,0.014
