t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
0.0,,,,,,,,,,,,,,,,,
0.1,-2.0,0.0,-0.0,0.0,0.0,,,,,,,,0.954,819,0,0.0,53.0
0.2,-2.0,0.0,-0.0,0.0,0.0,0.0,0.7949,0.0,0.0,0.0,,,0.954,819,0,0.0,54.4
0.3,-2.0,0.0,-0.0,0.0,0.0,0.0,0.7949,0.0,0.0,0.0,,,0.955,819,0,0.0,54.4
0.4,-2.0,0.0,-0.0,0.0,0.0,0.0,0.7436,0.0,0.0,0.0,,,0.962,819,0,0.0,54.4
0.5,-2.0,0.0,0.0004,-0.0,0.0194,0.0,0.6923,0.0,0.0,0.0,,,0.962,819,0,0.0,54.4
0.6,-2.0,0.0002,0.0062,-0.0,0.1874,0.0,0.641,0.0,0.0,0.0,,,0.962,819,0,0.0,53.0
0.7,-2.0,0.0202,0.3407,0.0166,0.8354,0.0,1.0,0.0,0.0,0.0,,,0.966,819,0,0.0,53.0
0.8,-2.0,0.0221,0.3734,0.0168,0.8131,0.0,0.9487,0.0,0.0,0.0,,,0.966,819,0,0.0,54.0
0.9,-2.0,0.023,0.3895,0.0166,0.8054,0.0,0.7949,0.0,0.0,0.0,,,0.966,819,0,0.0,52.6
1.0,-2.0,0.0238,0.4054,0.0164,0.7978,0.0,0.7436,0.0,0.0,0.0,,,0.966,819,0,0.0,54.2
1.1,-2.0001,0.0309,0.6111,0.004,0.5089,0.0,0.6923,0.0,0.0,0.0,,,0.965,819,0,0.0,54.2
1.2,-2.0001,0.031,0.6211,0.002,0.4989,0.0,0.6923,0.0,0.0,0.0,,,0.965,819,0,0.0,54.2
1.3,-2.0002,0.031,0.6308,-0.0003,0.488,0.2526,1.0,0.125,0.125,0.125,,,0.965,819,0,0.2526,36.8
1.4,-2.0003,0.0311,0.6403,-0.0027,0.4763,0.1737,1.0,0.25,0.25,0.25,,,0.958,819,0,0.1737,37.6
1.5,-2.0003,0.0312,0.6499,-0.0003,0.48,0.2684,1.0,0.1737,0.1737,0.1737,,,0.956,819,0,0.2684,35.6
1.6,-2.0001,0.0317,0.6601,0.0245,0.5064,0.3,0.8974,0.1737,0.1737,0.1737,,,0.944,819,0,0.3,34.4
1.7,-1.9916,0.0407,0.7218,0.1667,0.7323,0.3,1.0,0.2684,0.2684,0.2684,,,0.938,819,0,0.3,32.0
1.8,-1.9819,0.0503,0.7822,0.1762,0.7524,0.3,1.0,0.2684,0.2684,0.2684,,,0.929,819,0,0.3,31.4
1.9,-1.9685,0.0641,0.8397,0.2616,0.7528,0.3,0.8974,0.3,0.3,0.3,,,0.927,819,0,0.3,30.8
2.0,-1.8905,0.1949,1.2028,0.2742,0.7743,0.3,1.0,0.3,0.3,0.3,,,0.93,819,0,0.3,30.8
2.1,-1.8855,0.2221,1.2847,0.2716,0.8453,0.2842,0.9487,0.2842,0.2842,0.2842,,,0.926,819,0,0.3,30.8
