t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
0.0,,,,,,,,,,,,,,,,,
0.1,-2.004,-2.0724,-0.4481,0.0,0.0,,,,,,,,,819,0,0.0158,25.0
0.2,-2.004,-2.0724,-0.4481,0.0,0.0,0.0158,-1.0,0.0158,0.0158,0.0158,,,1.175,819,0,0.0158,25.0
0.3,-2.0021,-2.0755,-0.5051,0.0133,-0.4648,0.0158,-1.0,0.0158,0.0158,0.0158,,,1.17,819,0,0.0158,25.0
0.4,-2.0021,-2.0759,-0.5152,0.0109,-0.5083,0.0158,-1.0,0.0158,0.0158,0.0158,,,1.17,819,0,0.0158,25.0
0.5,-2.0021,-2.0762,-0.5262,0.0079,-0.5507,0.1737,-1.0,0.1408,0.1408,0.1408,,,1.164,819,0,0.1737,24.4
0.6,-2.0022,-2.0765,-0.5381,0.0045,-0.5908,0.2211,-1.0,0.1737,0.1737,0.1737,,,1.163,819,0,0.2211,23.4
0.7,-2.0022,-2.0775,-0.5622,0.0224,-0.597,0.3,-0.8974,0.2211,0.2211,0.2211,,,1.156,819,0,0.3,20.6
0.8,-1.9363,-2.1409,-0.8316,0.3001,-0.7492,0.3,-1.0,0.3,0.3,0.3,,,1.163,819,0,0.3,20.6
0.9,-1.9363,-2.1409,-0.8316,0.3001,-0.7492,0.3,-1.0,0.3,0.3,0.3,,,1.163,819,0,0.3,17.8
1.0,-1.9323,-2.1453,-0.8466,0.3001,-0.7476,0.3,-0.9487,0.3,0.3,0.3,,,1.17,819,0,0.3,15.8
1.1,-1.8837,-2.211,-1.0352,0.2817,-0.6772,0.3,-1.0,0.3,0.3,0.3,,,1.228,819,0,0.3,15.8
1.2,-1.8837,-2.211,-1.0352,0.2817,-0.6772,0.2684,-0.8462,0.3,0.3,0.3,,,1.228,819,0,0.2684,13.2
1.3,-1.8604,-2.2599,-1.1687,0.2784,-0.6357,0.2684,-0.8462,0.3,0.3,0.3,,,1.268,819,0,0.2684,13.2
1.4,-1.8604,-2.2599,-1.1687,0.2784,-0.6357,0.3,-0.8462,0.3,0.3,0.3,,,1.268,819,0,0.3,11.6
1.5,-1.8587,-2.2653,-1.1817,0.2794,-0.6541,0.2842,-0.7949,0.2842,0.2842,0.2842,,,1.237,819,0,0.2842,10.2
1.6,-1.8571,-2.2707,-1.1951,0.2802,-0.6694,0.3,-0.6923,0.2842,0.2842,0.2842,,,1.205,819,0,0.3,9.2
1.7,-1.8557,-2.2761,-1.2088,0.2808,-0.6829,0.3,-0.6923,0.3,0.3,0.3,,,1.171,819,0,0.3,7.2
1.8,-1.8543,-2.2815,-1.2225,0.2749,-0.6844,0.3,-0.5897,0.3,0.3,0.3,,,1.137,819,0,0.3,6.8
1.9,-1.8505,-2.2976,-1.2642,0.2758,-0.7015,0.3,-0.641,0.3,0.3,0.3,,,1.102,819,0,0.3,6.2
2.0,-1.8456,-2.3263,-1.3283,0.2922,-0.6345,0.3,-0.4872,0.3,0.3,0.3,,,1.066,819,0,0.3,4.2
2.1,-1.8417,-2.3615,-1.4061,0.2956,-0.6455,0.2842,-0.4359,0.3,0.3,0.3,,,1.031,819,0,0.2842,4.2
2.2,-1.8401,-2.3912,-1.4644,0.2973,-0.603,0.2842,-0.3333,0.3,0.3,0.3,,,0.998,819,0,0.2842,3.6
2.3,-1.8406,-2.4211,-1.5292,0.2986,-0.6428,0.2842,-0.4359,0.3,0.3,0.3,,,0.967,819,0,0.2842,3.8
2.4,-1.8432,-2.451,-1.5813,0.2939,-0.4948,0.2684,-0.3846,0.3,0.3,0.3,,,0.934,819,0,0.2684,3.2
2.5,-1.8482,-2.4851,-1.6335,0.2861,-0.3551,0.2368,-0.4359,0.3,0.3,0.3,,,0.904,819,0,0.2368,3.8
2.6,-1.8533,-2.5134,-1.6676,0.2868,-0.3524,0.2211,-0.3846,0.3,0.3,0.3,,,0.877,819,0,0.2211,3.8
2.7,-1.8597,-2.5412,-1.7092,0.2726,-0.3772,0.2053,-0.3846,0.2842,0.2842,0.2842,,,0.851,819,0,0.2053,3.8
2.8,-1.8667,-2.5671,-1.7467,0.2478,-0.3858,0.1895,-0.3333,0.2842,0.2842,0.2842,,,0.828,819,0,0.1895,3.8
2.9,-1.8741,-2.5899,-1.7868,0.2268,-0.3605,0.1895,-0.2308,0.2842,0.2842,0.2842,,,0.806,819,0,0.1895,3.2
3.0,-1.8817,-2.6111,-1.8224,0.2115,-0.3529,0.1737,-0.1795,0.2842,0.2842,0.2842,,,0.786,819,0,0.1737,3.2
3.1,-1.8894,-2.6304,-1.8561,0.1952,-0.2998,0.1579,-0.1795,0.2842,0.2842,0.2842,,,0.768,819,0,0.1579,3.2
3.2,-1.8968,-2.6485,-1.8838,0.1938,-0.215,0.1421,-0.2821,0.2842,0.2842,0.2842,,,0.752,819,0,0.1421,3.8
3.3,-1.9026,-2.6628,-1.8998,0.1868,-0.1894,0.1421,-0.1795,0.2684,0.2684,0.2684,,,0.736,819,0,0.1421,3.2
3.4,-1.9079,-2.6759,-1.9123,0.1769,-0.1561,0.1263,-0.1282,0.2368,0.2368,0.2368,,,0.721,819,0,0.1263,3.2
3.5,-1.9143,-2.691,-1.9278,0.1611,-0.1547,0.1105,-0.2821,0.2211,0.2211,0.2211,,,0.709,819,1,0.1105,3.8
3.6,-1.9244,-2.7123,-1.9606,0.1452,-0.1517,0.0947,-0.2821,0.1895,0.1895,0.1895,,,0.685,819,3,0.0947,3.8
3.7,-1.9303,-2.7247,-1.9737,0.1285,-0.1075,0.0947,-0.1795,0.1895,0.1895,0.1895,,,0.685,819,6,0.0947,3.8
3.8,-1.9537,-2.7682,-2.0451,0.0974,-0.1442,0.0947,-0.0769,0.0947,0.0947,0.0947,,,0.664,819,8,0.0947,3.0
3.9,-1.9547,-2.7699,-2.047,0.0966,-0.0965,0.0947,-0.0769,0.0947,0.0947,0.0947,,,0.664,819,16,0.0947,3.2
4.0,-1.9556,-2.7716,-2.0482,0.0959,-0.0617,0.0789,-0.0256,0.0947,0.0947,0.0947,,,0.655,819,25,0.0789,3.0
4.1,-1.9565,-2.7732,-2.0495,0.0959,-0.0616,0.0789,-0.0256,0.0947,0.0947,0.0947,,,0.646,819,30,0.0789,3.0
