t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
0.0,,,,,,,,,,,,,,,,,
0.1,-2.4412,0.1115,-2.8047,0.0,0.0,,,,,,,,,819,0,0.0,42.0
0.2,-2.4412,0.1115,-2.8047,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,,,1.286,819,0,0.0,42.0
0.3,-2.4412,0.114,-2.8574,-0.0071,-0.5119,0.0,-1.0,0.0,0.0,0.0,,,1.329,819,0,0.0,42.0
0.4,-2.4412,0.1146,-2.8691,-0.0076,-0.5834,0.0,-1.0,0.0,0.0,0.0,,,1.329,819,0,0.0,42.0
0.5,-2.4412,0.1152,-2.8824,-0.0081,-0.6641,0.0,-1.0,0.0,0.0,0.0,,,1.413,819,0,0.0,42.0
0.6,-2.4412,0.1159,-2.897,-0.0085,-0.7282,0.0,-1.0,0.0,0.0,0.0,,,1.563,819,0,0.0,42.0
0.7,-2.4412,0.1167,-2.912,-0.0087,-0.7532,0.0,-1.0,0.0,0.0,0.0,,,1.554,819,0,0.0,42.0
0.8,-2.4412,0.1175,-2.9287,-0.0087,-0.8314,0.3,-1.0,0.0,0.0,0.0,,,1.544,819,0,0.3,40.4
0.9,-2.4412,0.1193,-2.966,-0.0085,-0.9511,0.3,-1.0,0.0,0.0,0.0,,,1.523,819,0,0.2842,35.6
1.0,-2.5111,0.1678,2.8334,0.2806,-0.863,0.2684,-1.0,0.2684,0.2684,0.2684,,,1.459,819,0,0.2842,35.6
1.1,-2.5111,0.1678,2.8334,0.2806,-0.863,0.2684,-1.0,0.2684,0.2684,0.2684,,,1.459,819,0,0.2684,34.2
1.2,-2.5212,0.1733,2.799,0.283,-0.8566,0.2842,-1.0,0.3,0.3,0.3,,,1.388,819,0,0.2842,37.8
1.3,-2.5212,0.1733,2.799,0.283,-0.8566,0.2842,-1.0,0.3,0.3,0.3,,,1.388,819,0,0.2842,37.8
1.4,-2.5311,0.1791,2.7652,0.2828,-0.8393,0.3,-0.8462,0.2842,0.2842,0.2842,,,1.327,819,0,0.3,37.2
1.5,-2.536,0.1819,2.7487,0.2819,-0.8272,0.2842,-1.0,0.2842,0.2842,0.2842,,,1.298,819,0,0.2842,34.8
1.6,-2.5557,0.1936,2.6911,0.2789,-0.7129,0.3,-1.0,0.2842,0.2842,0.2842,,,1.298,819,0,0.3,34.6
1.7,-2.5784,0.2081,2.6262,0.2591,-0.6022,0.3,-0.8462,0.3,0.3,0.3,,,1.266,819,0,0.3,32.8
1.8,-2.5956,0.2199,2.579,0.2675,-0.5771,0.2842,-0.6923,0.3,0.3,0.3,,,1.234,819,0,0.2842,35.2
1.9,-2.6221,0.2395,2.5089,0.2756,-0.6664,0.3,-0.6923,0.2842,0.2842,0.2842,,,1.205,819,0,0.3,32.6
2.0,-2.6536,0.2656,2.4115,0.3044,-0.6663,0.3,-0.7949,0.2842,0.2842,0.2842,,,1.179,819,0,0.3,35.2
2.1,-2.6672,0.2778,2.373,0.3029,-0.6509,0.3,-0.5385,0.3,0.3,0.3,,,1.153,819,0,0.3,34.2
2.2,-2.6912,0.303,2.3039,0.2875,-0.5209,0.3,-0.9487,0.3,0.3,0.3,,,1.129,819,0,0.3,27.0
2.3,-2.7144,0.3302,2.2434,0.3,-0.5033,0.2842,-0.8974,0.3,0.3,0.3,,,1.108,819,0,0.3,27.6
2.4,-2.7289,0.3489,2.1999,0.2945,-0.5356,0.3,-0.8462,0.3,0.3,0.3,,,1.086,819,0,0.2684,27.6
2.5,-2.7459,0.3729,2.1574,0.2928,-0.3569,0.2684,-0.7949,0.2842,0.2842,0.2842,,,1.067,819,0,0.3,27.2
2.6,-2.7459,0.3729,2.1574,0.2928,-0.3569,0.2684,-0.7949,0.2842,0.2842,0.2842,,,1.067,819,0,0.3,27.2
2.7,-2.7745,0.4206,2.0491,0.2654,-0.6488,0.3,-0.8974,0.3,0.3,0.3,,,1.035,819,0,0.2842,27.8
2.8,-2.7849,0.4465,1.9849,0.281,-0.6523,0.2842,-0.8974,0.3,0.3,0.3,,,1.023,819,0,0.3,27.2
2.9,-2.7934,0.4718,1.918,0.2633,-0.6831,0.3,-0.6923,0.3,0.3,0.3,,,1.013,819,0,0.3,26.0
3.0,-2.7984,0.4987,1.8426,0.2768,-0.8471,0.3,-0.7949,0.3,0.3,0.3,,,1.006,819,0,0.3,26.0
3.1,-2.8,0.5277,1.7584,0.2865,-0.8392,0.3,-0.7949,0.3,0.3,0.3,,,1.002,819,0,0.3,30.2
3.2,-2.8002,0.5559,1.6709,0.2805,-0.8931,0.3,-0.4359,0.2842,0.2842,0.2842,,,1.001,819,0,0.3,29.8
3.3,-2.798,0.5856,1.5934,0.2988,-0.7232,0.3,-0.5385,0.3,0.3,0.3,,,1.003,819,0,0.3,29.0
3.4,-2.7936,0.6156,1.5164,0.3018,-0.8228,0.3,-0.4872,0.2684,0.2684,0.2684,,,1.008,819,0,0.2842,28.2
3.5,-2.7936,0.6156,1.5164,0.3018,-0.8228,0.3,-0.4872,0.2684,0.2684,0.2684,,,1.008,819,0,0.2842,28.2
3.6,-2.7801,0.675,1.3766,0.3045,-0.4514,0.2842,-0.3333,0.3,0.3,0.3,,,1.023,819,0,0.2684,29.0
3.7,-2.7712,0.7043,1.3273,0.3057,-0.4968,0.2684,-0.4872,0.2842,0.2842,0.2842,,,1.032,819,0,0.3,27.8
3.8,-2.7712,0.7043,1.3273,0.3057,-0.4968,0.2684,-0.4872,0.2842,0.2842,0.2842,,,1.032,819,0,0.3,27.8
3.9,-2.7543,0.7497,1.26,0.2909,-0.3409,0.3,-0.2821,0.3,0.3,0.3,,,1.042,819,0,0.3,27.2
4.0,-2.7433,0.7767,1.2293,0.2901,-0.2901,0.3,-0.3846,0.3,0.3,0.3,,,1.053,819,0,0.3,26.0
4.1,-2.7343,0.7972,1.2031,0.2698,-0.3799,0.3,-0.2821,0.3,0.3,0.3,,,1.064,819,0,0.3,25.2
4.2,-2.7223,0.8224,1.1728,0.291,-0.1874,0.3,-0.2308,0.3,0.3,0.3,,,1.076,819,0,0.2842,26.4
4.3,-2.7051,0.859,1.1478,0.2831,-0.2035,0.2842,-0.2821,0.3,0.3,0.3,,,1.089,819,0,0.2684,43.6
4.4,-2.6951,0.8796,1.1353,0.2867,-0.1437,0.2684,1.0,0.2842,0.2842,0.2842,,,1.101,819,0,0.3,45.4
4.5,-2.6823,0.9055,1.123,0.2897,-0.1201,0.3,1.0,0.2842,0.2842,0.2842,,,1.113,819,0,0.3,45.6
4.6,-2.672,0.9254,1.1094,0.2764,-0.1693,0.3,1.0,0.2684,0.2684,0.2684,,,1.126,819,0,0.2842,47.6
4.7,-2.6496,0.9682,1.101,0.2621,0.1215,0.2526,1.0,0.3,0.3,0.3,,,1.151,819,0,0.2842,45.6
4.8,-2.6496,0.9682,1.101,0.2621,0.1215,0.2526,1.0,0.3,0.3,0.3,,,1.151,819,0,0.2842,45.6
4.9,-2.6325,1.004,1.1407,0.2824,0.4303,0.2842,1.0,0.3,0.3,0.3,,,1.155,819,0,0.3,45.6
5.0,-2.6251,1.024,1.1877,0.2592,0.6662,0.3,1.0,0.3,0.3,0.3,,,1.14,819,0,0.2684,45.2
5.1,-2.6192,1.0485,1.2694,0.2435,0.8773,0.2684,0.9487,0.2842,0.2842,0.2842,,,1.121,819,0,0.2842,44.2
5.2,-2.6161,1.0797,1.375,0.271,0.9236,0.2842,1.0,0.2684,0.2684,0.2684,,,1.105,819,0,0.2684,44.4
5.3,-2.6171,1.109,1.4714,0.2945,0.9949,0.2684,0.8974,0.3,0.3,0.3,,,1.086,819,0,0.3,39.8
5.4,-2.6572,1.2537,1.9448,0.2858,0.7351,0.2842,0.9487,0.2842,0.2842,0.2842,,,1.026,819,0,0.3,39.8
