t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
0.0,,,,,,,,,,,,,,,,,
0.1,-1.9997,-0.0,-0.001,0.0144,-0.0521,0.0158,-1.0,0.0158,0.0158,0.0158,,,0.953,,,,
0.2,-1.9991,-0.0003,-0.0085,0.0159,-0.2297,0.0158,-1.0,0.0158,0.0158,0.0158,,,0.953,819,0,0.0158,35.2
0.3,-1.9966,-0.0039,-0.0899,0.0184,-0.7046,0.0158,-1.0,0.0158,0.0158,0.0158,,,0.949,819,0,0.0158,35.2
0.4,-1.9959,-0.0054,-0.1224,0.02,-0.847,0.0158,-1.0,0.0158,0.0158,0.0158,,,0.949,819,0,0.0158,35.2
0.5,-1.9956,-0.0063,-0.1408,0.021,-0.9178,0.0158,-1.0,0.0158,0.0158,0.0158,,,0.94,819,0,0.0158,35.2
0.6,-1.9953,-0.0072,-0.1594,0.0222,-0.9332,0.0,-1.0,0.0158,0.0158,0.0158,,,0.93,819,0,0.0,35.2
0.7,-1.995,-0.0081,-0.1786,0.0234,-0.9586,0.0,-1.0,0.0,0.0,0.0,,,0.923,819,0,0.0,33.8
0.8,-1.9947,-0.0091,-0.1976,0.0248,-0.9505,0.0,-0.8974,0.0,0.0,0.0,,,0.913,819,0,0.0,33.8
0.9,-1.9944,-0.0102,-0.2164,0.0262,-0.94,0.0,-0.8462,0.0,0.0,0.0,,,0.911,819,0,0.0,33.8
1.0,-1.9936,-0.0172,-0.3246,0.0176,-0.8823,0.2526,-1.0,0.0,0.0,0.0,,,0.9,819,0,0.2526,33.8
1.1,-1.9936,-0.0221,-0.4101,0.0172,-0.8389,0.2053,-1.0,0.0,0.0,0.0,,,0.888,819,0,0.2053,32.2
1.2,-1.9936,-0.0249,-0.4714,0.0138,-0.7253,0.3,-1.0,0.0,0.0,0.0,,,0.858,819,0,0.3,29.2
1.3,-1.9936,-0.0273,-0.5398,0.0101,-0.6555,0.2842,-0.8974,0.0,0.0,0.0,,,0.822,819,0,0.2842,30.4
1.4,-1.9925,-0.0303,-0.6014,0.0647,-0.5995,0.3,-1.0,0.0,0.0,0.0,,,0.786,819,0,0.3,28.4
1.5,-1.981,-0.0413,-0.665,0.1863,-0.691,0.3,-0.9487,0.125,0.125,0.125,,,0.749,819,0,0.3,27.0
1.6,-1.9646,-0.0566,-0.7334,0.2771,-0.6646,0.3,-0.9487,0.25,0.25,0.25,,,0.714,819,0,0.3,29.0
1.7,-1.9439,-0.0768,-0.806,0.2844,-0.6976,0.3,-1.0,0.2053,0.2053,0.2053,,,0.679,819,0,0.3,27.4
1.8,-1.9244,-0.0983,-0.8765,0.2959,-0.725,0.3,-0.8974,0.2053,0.2053,0.2053,4,PolygonLimit,0.643,819,0,0.3,26.8
1.9,-1.8706,-0.1796,-1.1027,0.2783,-0.7257,0.3,-0.8974,0.3,0.1671,0.1671,4,PolygonLimit,0.617,819,17,0.3,27.2
2.0,-1.8684,-0.1846,-1.1173,0.2708,-0.7342,0.2842,-0.8462,0.3,0.1671,0.1671,4,PolygonLimit,0.597,819,11,0.3,27.2
2.1,-1.8489,-0.221,-1.225,0.1726,-0.432,0.2842,-0.641,0.3,0.2167,0.2167,4,PolygonLimit,0.573,819,11,0.2842,27.2
2.2,-1.8476,-0.2242,-1.2337,0.1719,-0.4342,0.3,-0.7436,0.2842,0.2217,0.2217,4,PolygonLimit,0.552,819,10,0.3,29.0
2.3,-1.8463,-0.2274,-1.2425,0.1714,-0.4364,0.2842,-0.6923,0.2842,0.2217,0.2217,4,PolygonLimit,0.531,819,6,0.2842,30.2
2.4,-1.845,-0.2305,-1.2512,0.1708,-0.4387,0.3,-0.7949,0.3,0.2017,0.2017,4,PolygonLimit,0.511,819,7,0.3,29.0
2.5,-1.841,-0.2502,-1.2928,0.2085,-0.4494,0.3,-0.6923,0.3,0.2017,0.2017,4,PolygonLimit,0.493,819,5,0.3,29.0
2.6,-1.8386,-0.2717,-1.3384,0.2138,-0.4615,0.3,-0.4359,0.2842,0.2053,0.2053,4,PolygonLimit,0.477,819,0,0.3,27.8
2.7,-1.8375,-0.2876,-1.3755,0.1957,-0.4716,0.3,-0.7436,0.2842,0.2053,0.2053,0,,0.461,819,0,0.3,29.8
2.8,-1.8374,-0.3077,-1.4235,0.1997,-0.485,0.3,-0.5897,0.3,0.1887,0.1887,4,PolygonLimit,0.445,819,0,0.3,29.6
2.9,-1.8391,-0.3306,-1.4827,0.1852,-0.5025,0.3,-0.4359,0.3,0.2167,0.2167,4,PolygonLimit,0.434,819,0,0.3,28.2
3.0,-1.856,-0.4283,-1.6736,0.2585,-0.5014,0.2842,-0.3846,0.3,0.3,0.3,0,,0.425,819,0,0.2842,28.8
3.1,-1.8586,-0.4396,-1.6901,0.2986,-0.3999,0.3,-0.2821,0.2842,0.2842,0.2842,0,,0.418,819,0,0.3,27.8
3.2,-1.8601,-0.4456,-1.6987,0.3041,-0.4295,0.3,-0.1282,0.3,0.3,0.3,0,,0.415,819,0,0.3,27.8
3.3,-1.8832,-0.5325,-1.7899,0.3019,-0.1197,0.3,-0.1282,0.3,0.3,0.3,0,,0.416,819,0,0.3,27.0
3.4,-1.8847,-0.5383,-1.7923,0.302,-0.1195,0.3,0.0256,0.3,0.3,0.3,0,,0.42,819,0,0.3,27.6
3.5,-1.8862,-0.5442,-1.7947,0.302,-0.1194,0.3,0.0769,0.3,0.3,0.3,0,,0.427,819,0,0.3,27.0
3.6,-1.8876,-0.55,-1.796,0.3011,-0.0661,0.3,0.0769,0.3,0.3,0.3,0,,0.433,819,0,0.2842,28.2
3.7,-1.889,-0.5559,-1.7961,0.2999,-0.002,0.2842,0.0769,0.3,0.3,0.3,0,,0.439,819,0,0.3,27.0
3.8,-1.8929,-0.5734,-1.7946,0.2996,0.0239,0.3,0.0769,0.3,0.3,0.3,0,,0.445,819,0,0.2842,29.4
3.9,-1.8977,-0.5968,-1.7891,0.2988,0.0718,0.2842,0.0769,0.3,0.3,0.3,0,,0.451,819,0,0.3,27.6
4.0,-1.9059,-0.6376,-1.7792,0.2857,0.0614,0.3,0.1282,0.2842,0.2842,0.2842,0,,0.456,819,0,0.3,28.8
4.1,-1.9101,-0.6599,-1.7734,0.2831,0.0724,0.3,0.1282,0.2842,0.2842,0.2842,0,,0.462,819,0,0.2842,28.2
4.2,-1.9335,-0.8102,-1.7209,0.2967,0.1158,0.3,0.1282,0.3,0.3,0.3,0,,0.471,819,0,0.2842,28.2
4.3,-1.9348,-0.822,-1.7159,0.2985,0.1248,0.3,0.1282,0.3,0.3,0.3,0,,0.471,819,0,0.3,26.4
4.4,-1.9355,-0.828,-1.7134,0.2985,0.125,0.2684,0.2308,0.2684,0.2684,0.2684,0,,0.475,819,0,0.2684,27.6
4.5,-1.9361,-0.8339,-1.7109,0.2986,0.1252,0.2842,0.2308,0.2684,0.2684,0.2684,0,,0.48,819,0,0.2842,29.0
4.6,-1.9368,-0.8395,-1.7084,0.2825,0.1243,0.3,0.2308,0.2842,0.2842,0.2842,0,,0.482,819,0,0.3,27.0
4.7,-1.9374,-0.8449,-1.7041,0.2689,0.2166,0.2842,0.1795,0.2842,0.2842,0.2842,0,,0.485,819,0,0.2842,27.0
4.8,-1.9392,-0.8664,-1.6862,0.2791,0.2132,0.3,0.1795,0.3,0.3,0.3,0,,0.486,819,0,0.3,25.8
4.9,-1.9401,-0.889,-1.6678,0.2823,0.2311,0.2842,0.1795,0.3,0.3,0.3,0,,0.488,819,0,0.2842,25.8
5.0,-1.9408,-0.9246,-1.6408,0.2841,0.188,0.3,0.0769,0.2842,0.2842,0.2842,0,,0.488,819,0,0.3,24.2
5.1,-1.9409,-0.9652,-1.6152,0.2992,0.1857,0.2842,0.0769,0.2842,0.2842,0.2842,0,,0.489,819,0,0.3,22.8
5.2,-1.9409,-0.9652,-1.6152,0.2992,0.1857,0.2842,0.0769,0.2842,0.2842,0.2842,0,,0.489,819,0,0.3,22.8
5.3,-1.9405,-0.9886,-1.6004,0.2837,0.1874,0.3,0.1795,0.3,0.3,0.3,0,,0.489,819,0,0.3,21.8
5.4,-1.9396,-1.0296,-1.5817,0.2999,0.0813,0.3,0.1795,0.3,0.3,0.3,0,,0.489,819,0,0.3,19.8
5.5,-1.9385,-1.076,-1.5661,0.2999,0.1897,0.3,0.0,0.2842,0.2842,0.2842,0,,0.492,819,0,0.3,18.0
5.6,-1.9385,-1.076,-1.5661,0.2999,0.1897,0.3,0.0,0.2842,0.2842,0.2842,0,,0.492,819,0,0.3,18.0
5.7,-1.9365,-1.106,-1.5472,0.3004,0.1886,0.3,-0.0769,0.3,0.3,0.3,0,,0.496,819,0,0.3,16.8
5.8,-1.934,-1.1419,-1.5329,0.2999,-0.0224,0.3,0.0,0.3,0.3,0.3,0,,0.502,819,0,0.2842,16.8
5.9,-1.933,-1.1719,-1.534,0.3,0.0,0.2842,-0.0256,0.2842,0.2842,0.2842,0,,0.509,819,0,0.3,15.0
6.0,-1.9306,-1.2783,-1.5449,0.2989,-0.0204,0.3,0.0,0.3,0.3,0.3,0,,0.529,819,0,0.3,13.8
6.1,-1.9305,-1.2843,-1.5455,0.2999,-0.0269,0.2842,-0.0769,0.2842,0.2842,0.2842,0,,0.541,819,0,0.2842,13.8
6.2,-1.9304,-1.2903,-1.546,0.2999,-0.0269,0.3,-0.0769,0.2842,0.2842,0.2842,0,,0.555,819,0,0.3,12.0
6.3,-1.9303,-1.2963,-1.5466,0.2999,-0.0269,0.3,-0.0256,0.3,0.3,0.3,0,,0.597,819,0,0.3,12.0
6.4,-1.9299,-1.325,-1.5492,0.2842,-0.0269,0.2842,0.0,0.3,0.3,0.3,0,,0.666,819,0,0.2842,10.8
6.5,-1.9291,-1.3607,-1.5497,0.3,0.0,0.3,-0.0256,0.2842,0.2842,0.2842,0,,0.728,819,0,0.3,10.4
6.6,-1.9298,-1.5131,-1.571,0.285,-0.022,0.2842,-0.0256,0.2842,0.2842,0.2842,0,,0.85,819,0,0.3,10.4
6.7,-1.9299,-1.5244,-1.5721,0.2842,-0.0273,0.2842,-0.0256,0.2842,0.2842,0.2842,0,,0.85,819,0,0.2842,9.0
6.8,-1.93,-1.5301,-1.5726,0.2842,-0.0273,0.3,-0.0256,0.3,0.3,0.3,0,,0.912,819,0,0.3,7.8
6.9,-1.9301,-1.5358,-1.5731,0.2842,-0.0273,0.2842,-0.0256,0.3,0.3,0.3,0,,0.977,819,0,0.2842,7.8
7.0,-1.9301,-1.5418,-1.5736,0.299,-0.0205,0.3,-0.0256,0.2842,0.2842,0.2842,0,,1.04,819,0,0.3,5.4
7.1,-1.9301,-1.5418,-1.5736,0.299,-0.0205,0.3,-0.0256,0.2842,0.2842,0.2842,0,,1.04,819,0,0.3,5.4
7.2,-1.9302,-1.5478,-1.5741,0.3,-0.0273,0.2842,-0.0769,0.2842,0.2842,0.2842,0,,1.108,819,0,0.2842,6.0
7.3,-1.9306,-1.5828,-1.5773,0.2842,-0.0272,0.3,-0.0256,0.3,0.3,0.3,0,,1.83,819,0,0.3,5.6
7.4,-1.9311,-1.612,-1.5798,0.3,-0.0272,0.3,-0.1795,0.3,0.3,0.3,0,,1.799,819,0,0.3,4.4
7.5,-1.9317,-1.6412,-1.5851,0.2843,-0.0812,0.3,-0.1282,0.2842,0.2842,0.2842,0,,1.768,819,0,0.3,3.0
7.6,-1.9328,-1.6765,-1.5905,0.3,-0.027,0.3,0.0256,0.2842,0.2842,0.2842,0,,1.736,819,0,0.3,3.2
7.7,-1.9342,-1.7065,-1.6036,0.3003,-0.1875,0.3,-0.1795,0.3,0.3,0.3,0,,1.706,819,0,0.2842,2.2
7.8,-1.9372,-1.7425,-1.6208,0.3006,-0.1324,0.2526,-0.0769,0.3,0.3,0.3,0,,1.645,819,0,0.2368,2.2
7.9,-1.9384,-1.7664,-1.6211,0.2999,0.0265,0.2368,-0.0769,0.3,0.3,0.3,0,,1.62,819,0,0.2211,2.2
8.0,-1.941,-1.8024,-1.6343,0.3006,-0.184,0.1737,-0.1795,0.3,0.3,0.3,0,,1.595,819,0,0.1737,2.2
8.1,-1.9437,-1.8251,-1.6487,0.2854,-0.1823,0.1579,-0.1282,0.3,0.3,0.3,0,,1.572,819,0,0.1579,2.2
8.2,-1.9473,-1.8561,-1.6609,0.2532,-0.0775,0.1579,-0.2308,0.3,0.3,0.3,0,,1.554,819,0,0.1579,2.2
