t,best_vx,best_wz,best_total,n_traj,n_legal,n_crit_best,zero_for,RotateToGoal_raw,RotateToGoal,Oscillation_raw,Oscillation,BaseObstacle_raw,BaseObstacle,GoalAlign_raw,GoalAlign,PathAlign_raw,PathAlign,PathDist_raw,PathDist,GoalDist_raw,GoalDist,gt_x,gt_y,gt_yaw,gt_vx,gt_wz,dist_goal
0.139,0.0,0.7949,53.0,819,819,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,40.0,24.0,-2.0,0.0,0.0012,-0.0001,0.0601,3.2871
0.456,0.0,0.7949,54.4,819,819,7,0.42,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0086,0.1671,0.0079,0.6688,3.2793
0.545,0.0,0.6923,54.4,819,819,7,0.51,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0135,0.2311,0.0099,0.5961,3.275
0.723,0.0,1.0,53.0,819,819,7,0.69,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,2.0,1.6,41.0,24.6,-2.0,0.0217,0.3549,0.0169,0.8274,3.2676
0.959,0.0,0.8974,52.0,819,819,7,0.92,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,0.0,0.0,42.0,25.2,-2.0,0.0272,0.4638,0.0141,0.7286,3.2627
1.195,0.0,0.7949,52.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,0.0,0.0,42.0,25.2,-2.0001,0.0316,0.6207,0.0021,0.4994,3.2587
1.377,0.0,0.7436,54.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,43.0,25.8,-1.9953,0.0379,0.7049,0.1492,0.626,3.2552
1.565,0.0,0.6923,54.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,43.0,25.8,-1.9655,0.0688,0.8122,0.2974,0.7734,3.2411
1.676,0.2842,1.0,38.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,4.0,3.2,5.0,4.0,28.0,16.8,-1.9401,0.0982,0.9108,0.2671,0.6627,3.2268
1.889,0.3,0.8974,38.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,4.0,3.2,5.0,4.0,28.0,16.8,-1.9108,0.1391,1.0245,0.2831,0.633,3.2047
2.014,0.3,1.0,35.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,4.0,3.2,27.0,16.2,-1.8906,0.179,1.1285,0.2751,0.7195,3.1796
2.104,0.2684,0.9487,35.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,4.0,3.2,27.0,16.2,-1.8821,0.2055,1.2022,0.2815,0.7038,3.1608
2.42,0.2842,0.9487,36.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,4.0,3.2,28.0,16.8,-1.8741,0.2676,1.3704,0.2892,0.7403,3.111
2.585,0.3,0.8974,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,4.0,3.2,26.0,15.6,-1.8748,0.3326,1.4944,0.2793,0.5043,3.0548
2.704,0.3,1.0,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,1.0,0.8,3.0,2.4,25.0,15.0,-1.8801,0.3839,1.5869,0.3005,0.5154,3.0082
3.033,0.3,0.8462,31.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,2.0,1.6,3.0,2.4,25.0,15.0,-1.8914,0.4422,1.6766,0.3033,0.3847,2.9527
3.147,0.3,0.9487,28.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,2.0,1.6,24.0,14.4,-1.9011,0.4823,1.7294,0.2889,0.3727,2.9136
3.262,0.3,0.5385,28.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,0.0,0.0,0.0,0.0,26.0,15.6,-1.9187,0.5469,1.793,0.3027,0.1681,2.8495
3.357,0.3,0.5385,28.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,1.0,0.8,25.0,15.0,-1.9293,0.5878,1.8069,0.3012,0.0711,2.8094
3.47,0.3,0.5385,31.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.4,0.0,0.0,1.0,0.8,27.0,16.2,-1.938,0.6228,1.8087,0.2996,-0.0237,2.7753
3.81,0.3,0.4872,32.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,1.0,0.8,27.0,16.2,-1.95,0.6753,1.8019,0.3004,0.0238,2.7248
3.902,0.2842,0.3846,32.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,27.0,16.2,-1.9595,0.7162,1.8006,0.2996,-0.0238,2.6854
4.018,0.3,0.3846,31.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,25.0,15.0,-1.9708,0.7672,1.7931,0.2988,-0.0716,2.6368
4.116,0.3,0.2308,31.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,25.0,15.0,-1.9785,0.8023,1.7913,0.3,0.0,2.6034
4.22,0.3,0.1282,32.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,1.0,0.8,0.0,0.0,26.0,15.6,-1.986,0.8315,1.8044,0.3027,0.1662,2.5752
