t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
114.988,0.0,0.16,0.0,1.0,0.0,0.16,0.0,0.16,0.0,0.16
115.032,0.0,0.32,0.0,1.0,0.0,0.32,0.0,0.32,0.0,0.32
115.08,0.0,0.48,0.0,1.0,0.0,0.48,0.0,0.48,0.0,0.48
115.136,0.0,0.64,0.0,1.0,0.0,0.64,0.0,0.64,0.0,0.64
115.166,0.0,0.8,0.0,1.0,0.0,0.8,0.0,0.8,0.0,0.8
115.226,0.0,0.9600000000000001,0.0,1.0,0.0,0.9600000000000001,0.0,0.9600000000000001,0.0,0.9600000000000001
115.274,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.33,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.37,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.43,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.476,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.514,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.576,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.614,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.674,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.712,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.774,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.812,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.872,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.956,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
115.994,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.044,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.146,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.258,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.296,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.348,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.398,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.456,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.486,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.528,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.57,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.628,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.676,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.766,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.868,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
116.974,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.018,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.064,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.114,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.166,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.214,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.26,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.314,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.362,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.408,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.458,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.51,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.56,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.61,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.66,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.718,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.76,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.856,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.918,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
117.956,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.006,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.054,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.124,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.152,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.208,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.246,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.318,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.326,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.354,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.398,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.452,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.488,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.548,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.59,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.632,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.688,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.73,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.788,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.838,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.88,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.934,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118.974,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.042,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.074,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.134,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.174,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.276,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.312,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.37,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.45,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.544,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.654,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.706,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.752,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.792,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.832,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.93,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
119.99,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.016,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.068,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.132,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.172,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.268,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.308,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.366,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
120.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
