t_rel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated,v_wheel,w_wheel,cm_action,cm_polygon,x,y,yaw,v_act,w_act,scan_min,arbiter_active
0.0,,,,,,,,,,,,,-2.0,0.0,-0.0,0.0,0.0,0.9543,
0.1,0.0,1.0,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,,-2.0,0.0,0.0003,-0.0,0.016,0.9543,
0.2,0.0,1.0,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,,-2.0,0.0009,0.0241,0.0003,0.396,0.954,
0.3,0.0,1.0,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,,,-2.0,0.0033,0.0833,0.0022,0.7405,0.954,
0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0,0.0072,0.1711,0.0072,0.9633,0.9608,nav
0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0,0.0126,0.2645,0.0152,0.9138,0.9608,nav
0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0,0.0183,0.3531,0.0177,0.8676,0.9661,nav
0.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0,0.0228,0.4373,0.0166,0.8254,0.9666,nav
0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0,0.026,0.5174,0.0133,0.7861,0.9664,nav
0.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0001,0.028,0.5935,0.0064,0.7404,0.9633,nav
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0005,0.0284,0.6637,-0.0033,0.69,0.9652,nav
1.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.001,0.0284,0.7359,-0.0075,0.7441,0.9586,nav
1.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0013,0.0284,0.813,-0.0007,0.7728,0.9565,nav
