t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
126.092,0.0,0.16,0.0,0.5,0.0,0.16,0.0,0.16,0.0,0.16
126.13,0.0,0.32,0.0,0.5,0.0,0.32,0.0,0.32,0.0,0.32
126.19,0.0,0.48,0.0,0.5,0.0,0.48,0.0,0.48,0.0,0.48
126.2,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.272,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.31,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.354,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.392,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.428,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.498,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.53,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.588,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.614,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.672,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.73,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.772,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.8,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.872,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.912,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
126.958,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.046,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.106,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.156,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.198,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.248,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.314,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.362,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.414,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.454,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.51,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.564,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.612,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.652,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.71,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.746,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.818,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.82,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.85,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.888,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.93,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
127.966,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.026,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.026,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.054,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.108,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.148,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.21,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.246,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.296,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.352,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.388,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.446,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.488,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.536,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.586,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.634,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.684,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
128.744,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
