t_rel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated,v_wheel,w_wheel,cm_action,cm_polygon,x,y,yaw,v_act,w_act,scan_min,arbiter_active
0.0,,,,,,,,,,,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,
0.1,0.0,0.5,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,,-2.0005,-0.0288,-0.906,-0.0003,0.0974,0.8714,
0.2,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0005,-0.0288,-0.8811,-0.0007,0.3489,0.8725,nav
0.3,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0005,-0.0285,-0.8447,-0.0036,0.3699,0.876,nav
0.4,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0005,-0.0281,-0.8068,-0.0019,0.384,0.8833,nav
0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0005,-0.028,-0.7678,-0.0009,0.3886,0.8848,nav
0.6,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0009,-0.028,-0.7298,-0.0037,0.3744,0.891,nav
0.7,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0012,-0.028,-0.6932,-0.0017,0.3606,0.8951,nav
0.8,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0012,-0.028,-0.658,0.0012,0.3472,0.898,nav
0.9,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.001,-0.028,-0.6241,0.0022,0.3341,0.9038,nav
1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0007,-0.028,-0.5914,0.0023,0.3213,0.9048,nav
1.1,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0004,-0.028,-0.5597,0.0016,0.3189,0.9057,nav
1.2,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0002,-0.0276,-0.526,-0.0007,0.3551,0.9071,nav
1.3,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,-2.0,-0.0265,-0.4875,-0.0069,0.3971,0.9133,nav
