t_wall,t_sim,tag,state,verdict,reason,degraded,healthy,held,d,near,beams,mapped,sigma,mo_age,arb_mode,arb_active,wheel_vx,wheel_wz,gt_x,gt_y,gt_yaw
13515.327,0.000,c2nav42,IDLE,--,--,--,--,--,--,--,--,--,--,--,--,--,nan,nan,-2.0000,0.0000,0.0000
13515.500,0.068,c2nav42,IDLE,--,--,--,--,--,--,--,--,--,--,--,--,--,nan,nan,-2.0000,0.0000,0.0000
13515.730,0.168,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13515.995,0.270,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13516.270,0.368,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13516.529,0.468,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13516.745,0.568,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13516.981,0.668,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13517.247,0.768,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13517.482,0.868,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13517.726,0.968,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13517.990,1.070,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13518.217,1.168,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13518.467,1.274,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
13518.680,1.368,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.39,idle,none,nan,nan,-2.0000,0.0000,0.0000
13518.930,1.468,c2nav42,IDLE,CONSISTENT,OK,0,1,3.00,0.016,0.983,60,1,0.000,-0.40,idle,none,nan,nan,-2.0000,0.0000,0.0000
