t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
117.28,0.0,1.0,0.0,1.0,,,,,,
117.348,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.382,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
117.386,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.454,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.458,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.482,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
117.488,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.548,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.58,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
117.588,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.654,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.658,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.682,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
117.688,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.746,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.782,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
117.784,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.826,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.88,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
117.888,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.936,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.972,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
117.976,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
118.026,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.07,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
118.086,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.126,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.158,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
118.172,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.228,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.24,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.258,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
118.276,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.314,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.356,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
118.374,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.408,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.452,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
118.468,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.51,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.548,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
118.55,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
118.602,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.644,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
118.648,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.71,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.744,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
118.752,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.796,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.836,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
118.854,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.888,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.934,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
118.948,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
118.994,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
119.018,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
119.03,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
119.086,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
119.098,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
119.118,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.48,,
119.134,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
119.172,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
