t_rel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated,v_wheel,w_wheel,cm_action,cm_polygon,x,y,yaw,v_act,w_act,scan_min,arbiter_active
0.0,,,,,,,,,,,,,-2.0,0.0,-0.0,0.0,0.0,0.9543,
0.1,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0,0.0004,0.0108,0.0001,0.2314,0.9547,nav
0.2,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0,0.0018,0.0277,0.0004,0.1676,0.9574,nav
0.3,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0,0.0033,0.0443,0.0006,0.1659,0.9556,nav
0.4,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0,0.0047,0.0612,0.0009,0.1642,0.9569,nav
0.5,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0,0.0061,0.0775,0.0011,0.1626,0.9595,nav
0.6,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0,0.0075,0.0937,0.0013,0.161,0.9616,nav
0.7,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0,0.0086,0.1065,0.0014,0.1597,0.9604,nav
0.8,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0,0.0107,0.1361,0.0032,0.3141,0.9614,nav
0.9,0.0,1.0,0.0,0.32,0.0,0.32,,,0.0,1.0,,,-2.0,0.0128,0.163,0.004,0.3091,0.9623,nav
1.0,0.0,1.0,0.0,0.32,0.0,0.32,,,0.0,1.0,,,-2.0,0.0157,0.2001,0.0046,0.3024,0.967,nav
1.1,0.0,1.0,0.0,0.32,0.0,0.32,,,0.0,1.0,,,-2.0,0.0176,0.2256,0.0049,0.298,0.967,nav
1.2,0.0,1.0,0.0,0.32,0.0,0.32,,,0.0,1.0,,,-2.0,0.0202,0.2616,0.0053,0.2918,0.9678,nav
1.3,0.0,1.0,0.0,0.32,0.0,0.32,,,0.0,1.0,,,-2.0,0.0222,0.2911,0.0056,0.2995,0.9715,nav
1.4,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0,0.0247,0.3331,0.0085,0.4201,0.969,nav
1.5,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0,0.0272,0.3748,0.0084,0.4235,0.9687,nav
1.6,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0001,0.0293,0.4162,0.0079,0.4399,0.9707,nav
1.7,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0001,0.0312,0.4562,0.0073,0.4019,0.9696,nav
1.8,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0001,0.0328,0.4947,0.0068,0.3816,0.9706,nav
1.9,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0001,0.034,0.5334,0.0057,0.3926,0.9683,nav
2.0,0.0,0.64,0.0,0.64,0.0,0.64,,,0.0,0.64,,,-2.0002,0.0349,0.5724,-0.0023,0.4417,0.9713,nav
2.1,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0012,0.0351,0.6215,-0.0092,0.5794,0.9682,nav
2.2,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0017,0.0351,0.6768,-0.0007,0.5608,0.9642,nav
2.3,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0021,0.0351,0.7349,-0.0062,0.5956,0.9612,nav
2.4,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0025,0.0351,0.7968,-0.0002,0.6267,0.9577,nav
2.5,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0025,0.0348,0.8575,-0.003,0.5905,0.9542,nav
2.6,0.0,1.0,0.0,0.8,0.0,0.8,,,0.0,1.0,,,-2.0025,0.0347,0.9147,0.0012,0.5557,0.9486,nav
2.7,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0025,0.0349,0.97,0.0022,0.5345,0.9462,nav
2.8,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0025,0.0352,1.0209,0.0022,0.5022,0.9414,nav
2.9,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0028,0.0354,1.0723,-0.0001,0.5275,0.9379,nav
3.0,0.0,0.8,0.0,0.8,0.0,0.8,,,0.0,0.8,,,-2.0036,0.0357,1.1308,-0.0025,0.6353,0.9326,nav
3.1,0.0,0.64,0.0,0.48,0.0,0.64,,,0.0,0.64,,,-2.0054,0.0357,1.1955,-0.0088,0.5939,0.9257,nav
3.2,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0082,0.0357,1.2476,-0.0086,0.5966,0.9259,nav
3.3,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0115,0.0357,1.3024,-0.0086,0.4577,0.9192,nav
3.4,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0147,0.0357,1.3468,-0.0074,0.4452,0.9174,nav
3.5,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0181,0.0357,1.392,-0.0065,0.4571,0.9125,nav
3.6,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0219,0.0357,1.4398,-0.0052,0.4702,0.9105,nav
3.7,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.026,0.0357,1.488,-0.0036,0.484,0.9084,nav
3.8,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0294,0.0357,1.5276,-0.0021,0.4959,0.9046,nav
3.9,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0348,0.0357,1.5887,0.0006,0.5072,0.9058,nav
4.0,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0392,0.0357,1.6389,0.0027,0.4916,0.9519,nav
4.1,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0434,0.0357,1.6888,0.0045,0.4769,1.0431,nav
4.2,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0466,0.0357,1.7282,0.0057,0.4657,1.1574,nav
4.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,-2.0495,0.0357,1.7657,0.0025,0.1777,1.1741,nav
4.4,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-2.0503,0.0357,1.7789,0.0027,0.2415,1.1711,nav
4.5,0.0,1.0,0.0,0.32,0.0,0.32,,,0.0,1.0,,,-2.0522,0.0357,1.8074,0.005,0.2961,1.1744,nav
4.6,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0539,0.0357,1.8323,0.0053,0.2918,1.1725,nav
4.7,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0564,0.0357,1.869,0.0058,0.3333,1.1724,nav
4.8,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0579,0.0357,1.892,0.0056,0.2818,1.1795,nav
4.9,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0599,0.0357,1.9257,0.0057,0.2763,1.1767,nav
5.0,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0615,0.0357,1.9534,0.0056,0.2721,1.1792,nav
5.1,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0629,0.0357,1.9808,0.0056,0.2743,1.1803,nav
5.2,0.0,0.32,0.0,0.32,0.0,0.32,,,0.0,0.32,,,-2.0642,0.0357,2.0072,0.0052,0.2633,1.1752,nav
5.3,0.0,1.0,0.0,0.48,0.0,0.32,,,0.0,1.0,,,-2.0654,0.0356,2.0359,0.0036,0.3507,1.1767,nav
5.4,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-2.0669,0.0355,2.0744,0.0066,0.3795,1.1737,nav
5.5,0.0,0.64,0.0,0.64,0.0,0.64,,,0.0,0.64,,,-2.068,0.0354,2.1146,-0.0004,0.464,1.174,nav
5.6,0.0,0.64,0.0,0.64,0.0,0.64,,,0.0,0.64,,,-2.0687,0.0348,2.1608,-0.0019,0.4458,1.1714,nav
5.7,0.0,0.64,0.0,0.64,0.0,0.64,,,0.0,0.64,,,-2.0689,0.0341,2.204,-0.0052,0.428,1.1722,nav
5.8,0.0,0.64,0.0,0.64,0.0,0.64,,,0.0,0.64,,,-2.0689,0.0338,2.2482,-0.0004,0.4496,1.1683,nav
