t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
139.426,0.0,0.5,0.0,0.5,,,,,,
139.466,0.0,0.5,0.0,0.5,0.0,0.16,0.0,0.16,,
139.468,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
139.508,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
139.516,0.0,0.5,0.0,0.5,0.0,0.16,0.0,0.16,,
139.548,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
139.568,0.0,0.5,0.0,0.5,0.0,0.32,0.0,0.32,,
139.6,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
139.616,0.0,0.5,0.0,0.5,0.0,0.48,0.0,0.48,,
139.656,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.666,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.714,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.716,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.754,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.768,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.8,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.812,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.856,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.858,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.894,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.906,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.928,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.946,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
139.992,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.014,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.046,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.07,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.098,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.134,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.136,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.172,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.196,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.2,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.24,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.266,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.29,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.314,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.336,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.374,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.392,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.414,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.442,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.474,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.494,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.514,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.546,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.576,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.598,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.614,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.65,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.674,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.7,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.714,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.752,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.774,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.796,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.81,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.85,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.87,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.902,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.91,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.948,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.954,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
140.992,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.006,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.038,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.052,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.078,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.09,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.122,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.128,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.16,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.168,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.2,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.202,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.248,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.258,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.292,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.294,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.332,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.332,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.39,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.39,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.432,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.434,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.472,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.48,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.508,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.516,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.554,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.556,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.586,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.592,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.636,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.652,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.696,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.702,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.722,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.748,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.786,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.798,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.826,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.836,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.874,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
141.884,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,,
