t_rel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated,v_wheel,w_wheel,cm_action,cm_polygon,x,y,yaw,v_act,w_act,scan_min,arbiter_active
0.0,,,,,,,,,,,,,-1.9972,-0.036,-0.9196,0.0,0.0,0.8647,
0.1,0.0,0.16,0.0,0.16,0.0,0.16,,,0.0,0.16,,,-1.9972,-0.036,-0.9135,-0.0005,0.1104,0.8636,
0.2,0.0,0.48,0.0,0.48,0.0,0.48,,,0.0,0.48,,,-1.9972,-0.0359,-0.8934,-0.0001,0.2956,0.8674,
0.3,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9972,-0.0357,-0.8577,-0.0026,0.3651,0.87,
0.4,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9972,-0.0353,-0.8204,-0.0029,0.379,0.8746,nav
0.5,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9972,-0.0351,-0.7816,-0.0001,0.3927,0.879,nav
0.6,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9974,-0.0351,-0.7431,-0.0027,0.3793,0.8822,nav
0.7,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9978,-0.0351,-0.706,-0.0027,0.3654,0.8895,nav
0.8,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.998,-0.0351,-0.6703,0.0002,0.3519,0.8919,nav
0.9,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9978,-0.0351,-0.6359,0.0021,0.3387,0.8947,nav
1.0,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9975,-0.0351,-0.6028,0.0023,0.3258,0.8962,nav
1.1,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9972,-0.0351,-0.5709,0.0021,0.3161,0.8974,nav
1.2,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9969,-0.0349,-0.5384,0.0001,0.3365,0.901,nav
1.3,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0341,-0.5015,-0.004,0.3873,0.9077,nav
1.4,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0326,-0.4616,-0.0076,0.4034,0.908,nav
1.5,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0307,-0.4207,-0.0083,0.4134,0.9134,nav
1.6,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0285,-0.3787,-0.0087,0.4238,0.9169,nav
1.7,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.026,-0.3357,-0.0088,0.4346,0.9233,nav
1.8,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0231,-0.2916,-0.0086,0.4459,0.9233,nav
1.9,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.02,-0.2463,-0.0081,0.4578,0.9331,nav
2.0,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0165,-0.1997,-0.0073,0.4703,0.9375,nav
2.1,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0128,-0.1519,-0.0061,0.4837,0.9392,nav
2.2,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0087,-0.1027,-0.0045,0.4981,0.9425,nav
2.3,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,-0.0043,-0.0519,-0.0025,0.5137,0.9467,nav
2.4,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0003,0.0004,-0.0002,0.5307,0.9508,nav
2.5,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.005,0.0528,0.0022,0.517,0.9508,nav
2.6,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0093,0.1036,0.0042,0.5012,0.96,nav
2.7,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0134,0.1528,0.0058,0.4865,0.96,nav
2.8,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0172,0.2006,0.0071,0.473,0.9642,nav
2.9,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0206,0.2471,0.008,0.4602,0.9659,nav
3.0,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0238,0.2924,0.0086,0.4482,0.9664,nav
3.1,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0266,0.3366,0.0088,0.4368,0.9691,nav
3.2,0.0,0.5,0.0,0.5,0.0,0.5,,,0.0,0.5,,,-1.9967,0.0291,0.3796,0.0088,0.4259,0.9701,nav
