t_sim,mission_state,amcl_map_x,amcl_map_y,amcl_yaw,amcl_age_s,gt_world_x,gt_world_y,gt_yaw,amcl_world_x,err_m
115.87,IDLE,0.0,0.0,0.0,0.13,-2.0003,0.0,0.0,-2.0,0.0003
115.912,IDLE,0.0,0.0,0.0,0.17,-2.0003,0.0,0.0,-2.0,0.0003
115.96,IDLE,0.0,0.0,0.0,0.22,-2.0003,0.0,0.0,-2.0,0.0003
116.004,IDLE,0.0,0.0,0.0,0.26,-2.0003,0.0,0.0,-2.0,0.0003
116.046,IDLE,0.0,0.0,0.0,0.31,-2.0003,0.0,0.0,-2.0,0.0003
116.092,IDLE,0.0,0.0,0.0,0.35,-2.0003,0.0,0.0,-2.0,0.0003
116.13,IDLE,0.0,0.0,0.0,0.39,-2.0003,0.0,0.0,-2.0,0.0003
116.182,IDLE,0.0,0.0,0.0,0.44,-2.0003,0.0,0.0,-2.0,0.0003
116.234,IDLE,0.0,0.0,0.0,0.49,-2.0003,0.0,0.0,-2.0,0.0003
116.286,IDLE,0.0,0.0,0.0,0.55,-2.0003,0.0,0.0,-2.0,0.0003
116.332,IDLE,0.0,0.0,0.0,0.59,-2.0003,0.0,0.0,-2.0,0.0003
116.384,IDLE,0.0,0.0,0.0,0.64,-2.0003,0.0,0.0,-2.0,0.0003
116.434,IDLE,0.0,0.0,0.0,0.69,-2.0003,0.0,0.0,-2.0,0.0003
116.462,IDLE,0.0,0.0,0.0,0.72,-2.0003,0.0,0.0,-2.0,0.0003
116.5,IDLE,0.0,0.0,0.0,0.76,-2.0003,0.0,0.0,-2.0,0.0003
116.556,IDLE,0.0,0.0,0.0,0.82,-2.0003,0.0,0.0,-2.0,0.0003
116.612,IDLE,0.0,0.0,0.0,0.87,-2.0003,0.0,0.0,-2.0,0.0003
116.66,IDLE,0.0,0.0,0.0,0.92,-2.0003,0.0,0.0,-2.0,0.0003
116.7,IDLE,0.0,0.0,0.0,0.96,-2.0003,0.0,0.0,-2.0,0.0003
116.742,IDLE,0.0,0.0,0.0,1.0,-2.0003,0.0,0.0,-2.0,0.0003
116.8,IDLE,0.0,0.0,0.0,1.06,-2.0003,0.0,0.0,-2.0,0.0003
116.858,IDLE,0.0,0.0,0.0,1.12,-2.0003,0.0,0.0,-2.0,0.0003
116.908,IDLE,0.0,0.0,0.0,1.17,-2.0003,0.0,0.0,-2.0,0.0003
116.964,IDLE,0.0,0.0,0.0,1.22,-2.0003,0.0,0.0,-2.0,0.0003
117.018,IDLE,0.0,0.0,0.0,1.28,-2.0003,0.0,0.0,-2.0,0.0003
117.07,IDLE,0.0,0.0,0.0,1.33,-2.0003,0.0,0.0,-2.0,0.0003
117.118,IDLE,0.0,0.0,0.0,1.38,-2.0003,0.0,0.0,-2.0,0.0003
117.172,IDLE,0.0,0.0,0.0,1.43,-2.0003,0.0,0.0,-2.0,0.0003
117.23,IDLE,0.0,0.0,0.0,1.49,-2.0003,0.0,0.0,-2.0,0.0003
117.28,IDLE,0.0,0.0,0.0,1.54,-2.0003,0.0,0.0,-2.0,0.0003
117.332,IDLE,0.0,0.0,0.0,1.59,-2.0003,0.0,0.0,-2.0,0.0003
117.39,IDLE,0.0,0.0,0.0,1.65,-2.0003,0.0,0.0,-2.0,0.0003
117.442,IDLE,0.0,0.0,0.0,1.7,-2.0003,0.0,0.0,-2.0,0.0003
117.488,IDLE,0.0,0.0,0.0,1.75,-2.0003,0.0,0.0,-2.0,0.0003
117.536,IDLE,0.0,0.0,0.0,1.8,-2.0003,0.0,0.0,-2.0,0.0003
117.59,IDLE,0.0,0.0,0.0,1.85,-2.0003,0.0,0.0,-2.0,0.0003
117.648,IDLE,0.0,0.0,0.0,1.91,-2.0003,0.0,0.0,-2.0,0.0003
117.702,IDLE,0.0,0.0,0.0,1.96,-2.0003,0.0,0.0,-2.0,0.0003
117.758,IDLE,0.0,0.0,0.0,2.02,-2.0003,0.0,0.0,-2.0,0.0003
117.81,IDLE,0.0,0.0,0.0,2.07,-2.0003,0.0,0.0,-2.0,0.0003
117.862,IDLE,0.0,0.0,0.0,2.12,-2.0003,0.0,0.0,-2.0,0.0003
117.918,IDLE,0.0,0.0,0.0,2.18,-2.0003,0.0,0.0,-2.0,0.0003
117.98,IDLE,0.0,0.0,0.0,2.24,-2.0003,0.0,0.0,-2.0,0.0003
118.032,IDLE,0.0,0.0,0.0,2.29,-2.0003,0.0,0.0,-2.0,0.0003
118.092,IDLE,0.0,0.0,0.0,2.35,-2.0003,0.0,0.0,-2.0,0.0003
118.146,IDLE,0.0,0.0,0.0,2.41,-2.0003,0.0,0.0,-2.0,0.0003
118.206,IDLE,0.0,0.0,0.0,2.47,-2.0003,0.0,0.0,-2.0,0.0003
118.262,IDLE,0.0,0.0,0.0,2.52,-2.0003,0.0,0.0,-2.0,0.0003
118.32,IDLE,0.0,0.0,0.0,2.58,-2.0003,0.0,0.0,-2.0,0.0003
118.378,IDLE,0.0,0.0,0.0,2.64,-2.0003,0.0,0.0,-2.0,0.0003
118.426,IDLE,0.0,0.0,0.0,2.69,-2.0003,0.0,0.0,-2.0,0.0003
118.484,IDLE,0.0,0.0,0.0,2.74,-2.0003,0.0,0.0,-2.0,0.0003
118.54,IDLE,0.0,0.0,0.0,2.8,-2.0003,0.0,0.0,-2.0,0.0003
118.6,IDLE,0.0,0.0,0.0,2.86,-2.0003,0.0,0.0,-2.0,0.0003
118.656,IDLE,0.0,0.0,0.0,2.92,-2.0003,0.0,0.0,-2.0,0.0003
118.71,IDLE,0.0,0.0,0.0,2.97,-2.0003,0.0,0.0,-2.0,0.0003
118.768,IDLE,0.0,0.0,0.0,3.03,-2.0003,0.0,0.0,-2.0,0.0003
118.824,IDLE,0.0,0.0,0.0,3.08,-2.0003,0.0,0.0,-2.0,0.0003
118.88,IDLE,0.0,0.0,0.0,3.14,-2.0003,0.0,0.0,-2.0,0.0003
118.934,IDLE,0.0,0.0,0.0,3.19,-2.0003,0.0,0.0,-2.0,0.0003
118.992,IDLE,0.0,0.0,0.0,3.25,-2.0003,0.0,0.0,-2.0,0.0003
119.04,IDLE,0.0,0.0,0.0,3.3,-2.0003,0.0,0.0,-2.0,0.0003
119.096,IDLE,0.0,0.0,0.0,3.36,-2.0003,0.0,0.0,-2.0,0.0003
119.14,IDLE,0.0,0.0,0.0,3.4,-2.0003,0.0,0.0,-2.0,0.0003
119.176,IDLE,0.0,0.0,0.0,3.44,-2.0003,0.0,0.0,-2.0,0.0003
119.216,IDLE,0.0,0.0,0.0,3.48,-2.0003,0.0,0.0,-2.0,0.0003
119.264,IDLE,0.0,0.0,0.0,3.52,-2.0003,0.0,0.0,-2.0,0.0003
119.318,IDLE,0.0,0.0,0.0,3.58,-2.0003,0.0,0.0,-2.0,0.0003
119.366,IDLE,0.0,0.0,0.0,3.63,-2.0003,0.0,0.0,-2.0,0.0003
119.4,IDLE,0.0,0.0,0.0,3.66,-2.0003,0.0,0.0,-2.0,0.0003
119.454,IDLE,0.0,0.0,0.0,3.71,-2.0003,0.0,0.0,-2.0,0.0003
119.514,IDLE,0.0,0.0,0.0,3.77,-2.0003,0.0,0.0,-2.0,0.0003
119.556,IDLE,0.0,0.0,0.0,3.82,-2.0003,0.0,0.0,-2.0,0.0003
119.6,IDLE,0.0,0.0,0.0,3.86,-2.0003,0.0,0.0,-2.0,0.0003
119.646,IDLE,0.0,0.0,0.0,3.91,-2.0003,0.0,0.0,-2.0,0.0003
