t,best_vx,best_wz,best_total,n_traj,n_legal,n_crit_best,zero_for,RotateToGoal_raw,RotateToGoal,Oscillation_raw,Oscillation,BaseObstacle_raw,BaseObstacle,GoalAlign_raw,GoalAlign,PathAlign_raw,PathAlign,PathDist_raw,PathDist,GoalDist_raw,GoalDist,gt_x,gt_y,gt_yaw,gt_vx,gt_wz,dist_goal
0.146,0.0,0.7949,53.0,819,819,7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,40.0,24.0,-2.0,0.0001,0.0041,-0.0,0.1451,3.287
0.263,0.0,0.7436,54.4,819,819,7,0.23,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0015,0.039,0.0006,0.476,3.2858
0.364,0.0,0.7436,54.4,819,819,7,0.33,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0051,0.1217,0.0043,0.7383,3.2825
0.544,0.0,0.6923,54.4,819,819,7,0.51,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0134,0.239,0.0101,0.5933,3.2751
0.766,0.0,0.641,54.4,819,819,7,0.73,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0211,0.3568,0.0159,0.8025,3.2682
0.867,0.0,1.0,53.0,819,819,7,0.83,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,2.0,1.6,41.0,24.6,-2.0,0.0266,0.466,0.014,0.7277,3.2632
1.058,0.0,0.9487,54.0,819,819,7,1.02,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,1.0,0.8,43.0,25.8,-2.0,0.0297,0.5557,0.0086,0.6094,3.2605
1.243,0.0,0.7949,52.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-2.0001,0.0309,0.621,0.002,0.4993,3.2593
1.334,0.0,0.6923,52.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-1.9994,0.0326,0.6709,0.0595,0.5395,3.2582
1.437,0.2842,1.0,35.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,4.0,3.2,27.0,16.2,-1.9887,0.0433,0.7366,0.1822,0.7446,3.2533
1.677,0.1895,1.0,37.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,2.0,1.6,3.0,2.4,29.0,17.4,-1.9498,0.0849,0.8912,0.2985,0.6401,3.2341
1.773,0.3,1.0,35.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,4.0,3.2,26.0,15.6,-1.9249,0.1176,0.9786,0.287,0.6465,3.2169
2.066,0.3,0.8974,34.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,3.0,2.4,4.0,3.2,26.0,15.6,-1.8994,0.1614,1.0951,0.2801,0.6403,3.1907
2.171,0.3,0.9487,36.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.8,3.0,2.4,5.0,4.0,27.0,16.2,-1.8862,0.1978,1.1986,0.2751,0.7797,3.1655
2.272,0.3,1.0,33.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,4.0,3.2,26.0,15.6,-1.8786,0.2427,1.3203,0.2852,0.7992,3.1303
2.388,0.3,0.8974,33.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,2.0,1.6,4.0,3.2,25.0,15.0,-1.8766,0.2898,1.4572,0.2958,0.7792,3.0907
2.699,0.3,1.0,32.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,2.0,1.6,4.0,3.2,25.0,15.0,-1.8781,0.3381,1.5679,0.2339,0.5296,3.0484
2.808,0.3,0.8462,33.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,2.0,1.6,4.0,3.2,26.0,15.6,-1.8869,0.3931,1.6593,0.3028,0.3887,2.9969
2.9,0.3,0.7436,31.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,0.0,0.0,25.0,15.0,-1.893,0.422,1.695,0.2875,0.3296,2.969
2.986,0.3,0.641,33.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,1.0,0.8,27.0,16.2,-1.8999,0.4509,1.7293,0.3046,0.3727,2.9408
3.297,0.3,0.3846,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,1.0,0.8,25.0,15.0,-1.914,0.5023,1.7848,0.3029,0.1863,2.8897
3.401,0.2842,0.3333,32.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,26.0,15.6,-1.9288,0.5602,1.8039,0.2846,0.0237,2.8329
3.508,0.3,0.3846,32.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,1.0,0.8,26.0,15.6,-1.9396,0.6057,1.8035,0.2941,-0.0283,2.7887
3.603,0.2842,0.3333,31.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,1.0,0.8,25.0,15.0,-1.9456,0.6335,1.7968,0.2905,-0.0529,2.7621
3.687,0.3,0.1795,32.0,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.2,0.0,0.0,1.0,0.8,25.0,15.0,-1.951,0.6569,1.7968,0.3,0.0,2.7396
4.144,0.3,0.0769,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,1.0,0.8,0.0,0.0,24.0,14.4,-1.969,0.7372,1.7926,0.3004,0.0239,2.6626
4.26,0.2842,0.0256,30.6,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,25.0,15.0,-1.9793,0.7841,1.7894,0.2996,-0.0239,2.6181
4.349,0.3,-0.0256,28.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,0.0,0.0,0.0,0.0,26.0,15.6,-1.9864,0.8186,1.7833,0.2989,-0.072,2.5856
4.454,0.2842,-0.0769,31.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.6,0.0,0.0,0.0,0.0,26.0,15.6,-1.9941,0.8581,1.7743,0.2988,-0.0295,2.5486
4.57,0.3,0.0,28.4,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.6,1.0,0.8,0.0,0.0,25.0,15.0,-2.0032,0.9052,1.7672,0.2989,-0.0727,2.5049
4.677,0.2842,0.0,30.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,1.0,0.8,0.0,0.0,25.0,15.0,-2.0084,0.9346,1.76,0.2989,-0.073,2.4779
