t,best_vx,best_wz,best_total,n_traj,n_legal,n_crit_best,zero_for,RotateToGoal_raw,RotateToGoal,Oscillation_raw,Oscillation,BaseObstacle_raw,BaseObstacle,GoalAlign_raw,GoalAlign,PathAlign_raw,PathAlign,PathDist_raw,PathDist,GoalDist_raw,GoalDist,gt_x,gt_y,gt_yaw,gt_vx,gt_wz,dist_goal
0.245,0.0,0.7436,54.4,819,819,7,0.21,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0009,0.0254,0.0003,0.3554,3.2863
0.386,0.0,0.7436,54.4,819,819,7,0.35,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0047,0.1122,0.0038,0.7426,3.2829
0.494,0.0,0.6923,54.4,819,819,7,0.46,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0112,0.2074,0.01,0.653,3.2771
0.656,0.0,0.641,54.4,819,819,7,0.62,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0182,0.3079,0.0139,0.7128,3.2707
0.818,0.0,1.0,53.6,819,819,7,0.78,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,2.0,1.6,42.0,25.2,-2.0,0.0238,0.404,0.0164,0.7985,3.2657
0.909,0.0,0.9487,53.4,819,819,7,0.87,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,1.0,0.8,43.0,25.8,-2.0,0.0283,0.5061,0.0116,0.6662,3.2617
1.09,0.0,0.8974,52.0,819,819,7,1.05,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,0.0,0.0,42.0,25.2,-2.0001,0.0308,0.6,0.0036,0.5444,3.2595
1.28,0.0,0.7949,54.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,43.0,25.8,-2.0005,0.0311,0.6591,-0.0025,0.4765,3.259
1.376,0.0,0.7436,54.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,43.0,25.8,-1.9786,0.0557,0.7769,0.2943,0.6684,3.2469
1.462,0.0,0.6923,54.8,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,43.0,25.8,-1.962,0.0727,0.8378,0.2935,0.7542,3.2393
