t,best_vx,best_wz,best_total,n_traj,n_legal,n_crit_best,zero_for,RotateToGoal_raw,RotateToGoal,Oscillation_raw,Oscillation,BaseObstacle_raw,BaseObstacle,GoalAlign_raw,GoalAlign,PathAlign_raw,PathAlign,PathDist_raw,PathDist,GoalDist_raw,GoalDist,gt_x,gt_y,gt_yaw,gt_vx,gt_wz,dist_goal
0.129,0.0,0.7949,53.0,819,819,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,40.0,24.0,-2.0,0.0,-0.0,0.0,0.0,3.2871
0.237,0.0,0.7949,54.4,819,819,7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0008,0.0217,0.0003,0.3369,3.2864
0.321,0.0,0.7436,54.4,819,819,7,0.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.003,0.0764,0.002,0.6716,3.2844
0.449,0.0,0.6923,54.4,819,819,7,0.42,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0077,0.163,0.0072,0.6704,3.2802
0.584,0.0,0.641,54.4,819,819,7,0.55,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,2.0,1.6,41.0,24.6,-2.0,0.0134,0.2391,0.0101,0.5933,3.2751
0.67,0.0,1.0,53.0,819,819,7,0.64,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.2,2.0,1.6,2.0,1.6,41.0,24.6,-2.0,0.0177,0.3022,0.0134,0.7253,3.2712
0.821,0.0,0.9487,54.0,819,819,7,0.79,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,1.0,0.8,43.0,25.8,-2.0,0.0251,0.4311,0.0155,0.7697,3.2646
0.975,0.0,0.8974,52.6,819,819,7,0.94,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-2.0,0.027,0.4749,0.0137,0.7237,3.2629
1.068,0.0,0.7949,52.6,819,819,7,1.04,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,2.0,1.6,0.0,0.0,42.0,25.2,-2.0,0.0301,0.5735,0.0068,0.562,3.2601
1.243,0.0,0.7436,54.2,819,819,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,25.8,3.0,2.4,1.0,0.8,42.0,25.2,-2.0001,0.0308,0.6161,0.0029,0.5034,3.2594
