t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.001,95.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.111,95.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.202,96.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.31,96.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.407,96.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.511,96.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.611,96.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.716,96.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.81,96.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.914,96.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.01,96.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.114,96.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.209,97.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.311,97.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.408,97.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.508,97.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.618,97.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.708,97.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.811,97.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.91,97.7,-2.0,0.0,-0.0,-1.469,2.94,480,0,0,0,0.8217,0.9543,,,0.0,0.7949,,,
2.008,97.8,-2.0,0.0004,0.0116,-1.469,2.94,480,0,0,0,0.822,0.955,,,0.0,0.7949,0.0,0.0,0.0
2.108,97.9,-2.0,0.0022,0.0559,-1.469,2.94,480,0,0,0,0.8231,0.9567,,,0.0,0.7436,0.0,0.0,0.0
2.21,98.0,-2.0,0.0054,0.1267,-1.469,2.94,480,0,0,0,0.8269,0.9613,,,0.0,0.6923,0.0,0.0,0.0
2.31,98.1,-2.0,0.0101,0.1951,-1.469,2.94,480,0,0,0,0.8303,0.9648,,,0.0,0.641,0.0,0.0,0.0
2.41,98.2,-2.0,0.0147,0.2563,-1.469,2.94,480,0,0,0,0.83,0.9641,,,0.0,1.0,0.0,0.0,0.0
2.51,98.3,-2.0,0.0191,0.3231,-1.469,2.94,480,0,0,0,0.8331,0.9661,,,0.0,0.9487,0.0,0.0,0.0
2.61,98.4,-2.0,0.0238,0.4046,-1.469,2.94,480,0,0,0,0.8396,0.9705,,,0.0,0.8974,0.0,0.0,0.0
2.711,98.5,-2.0,0.0272,0.4795,-1.469,2.94,480,0,0,0,0.8371,0.9657,,,0.0,0.7949,0.0,0.0,0.0
2.81,98.6,-2.0,0.0295,0.5449,-1.469,2.94,480,0,0,0,0.839,0.9647,,,0.0,0.7436,0.0,0.0,0.0
2.927,98.7,-2.0001,0.0307,0.6019,-1.469,2.94,480,0,0,0,0.8417,0.9646,,,0.0,0.6923,0.0,0.0,0.0
3.014,98.8,-2.0004,0.031,0.6515,-1.469,2.94,480,0,0,0,0.8415,0.9616,,,0.2684,1.0,0.125,0.0,0.0
3.128,98.9,-1.9981,0.0341,0.7045,-1.469,2.94,480,0,0,0,0.842,0.9586,,,0.1895,1.0,0.1895,0.1895,0.1895
3.234,99.0,-1.9834,0.0489,0.7918,-1.469,2.94,480,0,0,0,0.8415,0.952,,,0.3,1.0,0.3,0.3,0.3
3.322,99.1,-1.9692,0.0642,0.8481,-1.469,2.94,480,0,0,0,0.8385,0.9414,,,0.2842,1.0,0.2842,0.3,0.3
3.427,99.2,-1.9509,0.0862,0.9194,-1.469,2.94,480,0,0,0,0.8449,0.9384,,,0.2684,1.0,0.2684,0.2684,0.2684
3.519,99.3,-1.9353,0.1072,0.9867,-1.469,2.94,480,0,0,0,0.8465,0.9307,,,0.3,0.9487,0.3,0.3,0.3
3.624,99.4,-1.9207,0.1307,1.0516,-1.469,2.94,480,0,0,0,0.8513,0.9256,,,0.2842,1.0,0.2842,0.2842,0.2842
3.723,99.5,-1.9091,0.1546,1.1223,-1.469,2.94,480,0,0,0,0.8601,0.9266,,,0.3,0.8974,0.3,0.3,0.3
3.829,99.6,-1.9002,0.1808,1.1925,-1.469,2.94,480,0,0,0,0.8291,0.928,,,0.3,0.9487,0.3,0.3,0.3
3.933,99.7,-1.8945,0.2081,1.2687,-1.469,2.94,480,0,0,0,0.8097,0.9333,,,0.3,0.7949,0.3,0.3,0.3
4.034,99.8,-1.8916,0.2369,1.3436,-1.469,2.94,480,0,0,0,0.7824,0.9118,,,0.3,0.8974,0.3,0.3,0.3
4.133,99.9,-1.8903,0.2663,1.4266,-1.469,2.94,480,0,0,0,0.7632,0.8957,,,0.3,0.7436,0.3,0.3,0.3
4.233,100.0,-1.8906,0.2962,1.5048,-1.469,2.94,480,0,0,5,0.7421,0.8763,,,0.3,0.7949,0.3,0.3,0.3
4.333,100.1,-1.8922,0.3234,1.5805,-1.469,2.94,480,0,0,8,0.7233,0.8578,LIMIT,PolygonLimit,0.3,0.641,0.3,0.234,0.234
4.437,100.2,-1.8959,0.3471,1.63,-1.469,2.94,480,0,0,0,0.7124,0.8464,DO_NOTHING,,0.3,0.7949,0.3,0.3,0.3
4.533,100.3,-1.9044,0.3759,1.6992,-1.469,2.94,480,0,0,0,0.7001,0.8323,DO_NOTHING,,0.3,0.5385,0.3,0.3,0.3
4.633,100.4,-1.9141,0.4056,1.7606,-1.469,2.94,480,0,0,0,0.6895,0.8186,DO_NOTHING,,0.3,0.4359,0.3,0.3,0.3
4.735,100.5,-1.9236,0.4349,1.8031,-1.469,2.94,480,0,0,0,0.6816,0.8075,DO_NOTHING,,0.3,0.4359,0.3,0.3,0.3
4.836,100.6,-1.9339,0.4639,1.843,-1.469,2.94,480,0,0,0,0.6752,0.7966,DO_NOTHING,,0.3,0.2821,0.3,0.3,0.3
4.937,100.7,-1.9443,0.4927,1.8715,-1.469,2.94,480,0,0,0,0.6705,0.7884,DO_NOTHING,,0.2842,0.2308,0.2842,0.2842,0.2842
5.04,100.8,-1.9545,0.5199,1.8926,-1.469,2.94,480,0,0,0,0.6676,0.7809,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
5.136,100.9,-1.9644,0.5481,1.8974,-1.469,2.94,480,0,0,0,0.6649,0.7753,DO_NOTHING,,0.2842,-0.1282,0.2842,0.2842,0.2842
5.237,101.0,-1.973,0.5753,1.887,-1.469,2.94,480,0,0,0,0.6626,0.77,DO_NOTHING,,0.2842,-0.0769,0.2842,0.2842,0.2842
5.336,101.1,-1.9813,0.6023,1.8796,-1.469,2.94,480,0,0,0,0.6618,0.7668,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
5.443,101.2,-1.9895,0.6307,1.8693,-1.469,2.94,480,0,0,0,0.663,0.7656,DO_NOTHING,,0.2842,-0.1282,0.2842,0.2842,0.2842
5.535,101.3,-1.9972,0.6582,1.8581,-1.469,2.94,480,0,0,0,0.6626,0.7628,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
5.636,101.4,-2.0047,0.6869,1.8467,-1.469,2.94,480,0,0,0,0.6645,0.7611,DO_NOTHING,,0.2842,-0.1282,0.2842,0.2842,0.2842
5.737,101.5,-2.0117,0.7145,1.8354,-1.469,2.94,480,0,0,0,0.668,0.762,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
5.848,101.6,-2.0199,0.7491,1.8219,-1.469,2.94,480,0,0,0,0.6708,0.7621,DO_NOTHING,,0.3,-0.0769,0.3,0.3,0.3
5.938,101.7,-2.0254,0.7723,1.8162,-1.469,2.94,480,0,0,0,0.6762,0.7638,DO_NOTHING,,0.3,-0.0769,0.3,0.3,0.3
6.038,101.8,-2.0321,0.8014,1.8095,-1.469,2.94,480,0,0,0,0.6817,0.7664,DO_NOTHING,,0.2842,-0.0769,0.2842,0.2842,0.2842
6.139,101.9,-2.0382,0.829,1.802,-1.469,2.94,480,0,0,0,0.6879,0.7696,DO_NOTHING,,0.2842,-0.1282,0.2842,0.2842,0.2842
6.241,102.0,-2.0437,0.8568,1.7903,-1.469,2.94,480,0,0,0,0.6934,0.7736,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
6.342,102.1,-2.0492,0.886,1.7786,-1.469,2.94,480,0,0,0,0.699,0.7789,DO_NOTHING,,0.2842,-0.1282,0.2842,0.2842,0.2842
6.445,102.2,-2.0541,0.914,1.7667,-1.469,2.94,480,0,0,0,0.7042,0.7847,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
6.558,102.3,-2.0588,0.9434,1.7548,-1.469,2.94,480,0,0,0,0.7088,0.7907,DO_NOTHING,,0.2842,-0.1282,0.2842,0.2842,0.2842
6.646,102.4,-2.063,0.9714,1.7427,-1.469,2.94,480,0,0,0,0.7128,0.7961,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
6.763,102.5,-2.0677,1.0065,1.7282,-1.469,2.94,480,0,0,0,0.7167,0.8014,DO_NOTHING,,0.2842,-0.1282,0.2842,0.2842,0.2842
6.846,102.6,-2.0704,1.0291,1.7184,-1.469,2.94,480,0,0,0,0.7201,0.8061,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
6.956,102.7,-2.0736,1.0587,1.7064,-1.469,2.94,480,0,0,0,0.7234,0.8106,DO_NOTHING,,0.2842,-0.0256,0.2842,0.2842,0.2842
7.065,102.8,-2.0773,1.087,1.704,-1.469,2.94,480,0,0,0,0.727,0.8144,DO_NOTHING,,0.3,0.0769,0.3,0.3,0.3
7.171,102.9,-2.0818,1.1167,1.7108,-1.469,2.94,480,0,0,0,0.7315,0.8183,DO_NOTHING,,0.3,0.0,0.3,0.3,0.3
7.27,103.0,-2.086,1.1464,1.7101,-1.469,2.94,480,0,0,0,0.7357,0.8225,DO_NOTHING,,0.3,-0.0256,0.3,0.3,0.3
7.374,103.1,-2.0899,1.1757,1.7077,-1.469,2.94,480,0,0,0,0.7396,0.8266,DO_NOTHING,,0.3,-0.0769,0.2842,0.2842,0.2842
7.477,103.2,-2.0935,1.2042,1.7042,-1.469,2.94,480,0,0,0,0.7432,0.8306,DO_NOTHING,,0.3,-0.0769,0.3,0.3,0.3
7.594,103.3,-2.0967,1.2336,1.6969,-1.469,2.94,480,0,0,0,0.7465,0.8346,DO_NOTHING,,0.3,-0.0256,0.2842,0.2842,0.2842
7.685,103.4,-2.0999,1.2625,1.6917,-1.469,2.94,480,0,0,0,0.7497,0.8383,DO_NOTHING,,0.3,-0.0256,0.3,0.3,0.3
7.787,103.5,-2.1031,1.2923,1.6868,-1.469,2.94,480,0,0,0,0.753,0.842,DO_NOTHING,,0.2842,-0.0769,0.3,0.3,0.3
7.887,103.6,-2.1058,1.3214,1.6795,-1.469,2.94,480,0,0,0,0.7559,0.8455,DO_NOTHING,,0.3,-0.0769,0.2842,0.2842,0.2842
7.993,103.7,-2.1082,1.3504,1.672,-1.469,2.94,480,0,0,0,0.7604,0.8486,DO_NOTHING,,0.3,0.0,0.3,0.3,0.3
8.088,103.8,-2.1108,1.3803,1.6677,-1.469,2.94,480,0,0,0,0.7661,0.8516,DO_NOTHING,,0.3,-0.0256,0.3,0.3,0.3
8.194,103.9,-2.1136,1.4101,1.6665,-1.469,2.94,480,0,0,0,0.772,0.8547,DO_NOTHING,,0.2842,0.0,0.3,0.3,0.3
8.296,104.0,-2.1162,1.4392,1.6652,-1.469,2.94,480,0,0,0,0.78,0.8587,DO_NOTHING,,0.3,-0.0256,0.2842,0.2842,0.2842
8.396,104.1,-2.1189,1.4683,1.664,-1.469,2.94,480,0,0,0,0.7871,0.8629,DO_NOTHING,,0.2842,-0.0256,0.3,0.3,0.3
8.492,104.2,-2.1214,1.4974,1.6615,-1.469,2.94,480,0,0,0,0.7974,0.8692,DO_NOTHING,,0.3,0.0,0.2842,0.2842,0.2842
8.591,104.3,-2.1239,1.5265,1.6602,-1.469,2.94,480,0,0,0,0.8079,0.8755,DO_NOTHING,,0.2842,0.0,0.3,0.3,0.3
8.69,104.4,-2.1265,1.5556,1.6602,-1.469,2.94,480,0,0,0,0.818,0.878,DO_NOTHING,,0.3,-0.0769,0.2842,0.2842,0.2842
8.796,104.5,-2.1288,1.5846,1.657,-1.469,2.94,480,0,0,0,0.8295,0.8501,DO_NOTHING,,0.3,-0.1282,0.3,0.3,0.3
8.89,104.6,-2.1305,1.6145,1.6468,-1.469,2.94,480,0,0,0,0.8213,0.826,DO_NOTHING,,0.3,0.0256,0.3,0.3,0.3
8.991,104.7,-2.1319,1.6444,1.6392,-1.469,2.94,480,0,0,0,0.8009,0.8006,DO_NOTHING,,0.2842,0.0256,0.3,0.3,0.3
9.091,104.8,-2.1342,1.6738,1.6418,-1.469,2.94,480,0,0,0,0.7801,0.7771,DO_NOTHING,,0.3,0.0,0.2842,0.2842,0.2842
9.198,104.9,-2.1364,1.7029,1.6431,-1.469,2.94,480,0,0,0,0.7621,0.7552,DO_NOTHING,,0.3,-0.0256,0.3,0.3,0.3
9.298,105.0,-2.1384,1.7328,1.6418,-1.469,2.94,480,0,0,0,0.7426,0.7319,DO_NOTHING,,0.2842,-0.0256,0.3,0.3,0.3
9.399,105.1,-2.1402,1.7618,1.6393,-1.469,2.94,480,0,0,0,0.7237,0.709,DO_NOTHING,,0.3,0.0256,0.2842,0.2842,0.2842
9.498,105.2,-2.1423,1.7912,1.6401,-1.469,2.94,480,0,0,0,0.7059,0.6875,DO_NOTHING,,0.2842,0.0256,0.3,0.3,0.3
9.6,105.3,-2.1446,1.8202,1.6427,-1.469,2.94,480,0,0,0,0.6916,0.6691,DO_NOTHING,,0.3,0.0,0.2842,0.2842,0.2842
9.7,105.4,-2.1468,1.8495,1.6437,-1.469,2.94,480,0,0,0,0.6745,0.6474,DO_NOTHING,,0.2842,-0.0256,0.3,0.3,0.3
9.804,105.5,-2.1488,1.8783,1.642,-1.469,2.94,480,0,0,0,0.6598,0.6278,DO_NOTHING,,0.3,-0.0256,0.2842,0.2842,0.2842
9.915,105.6,-2.1506,1.9078,1.6395,-1.469,2.94,480,0,0,0,0.6483,0.6116,DO_NOTHING,,0.3,-0.0769,0.3,0.3,0.3
10.004,105.7,-2.1521,1.9377,1.6334,-1.469,2.94,480,0,0,0,0.6356,0.5919,DO_NOTHING,,0.2842,-0.0769,0.3,0.3,0.3
10.114,105.8,-2.1532,1.9666,1.6257,-1.469,2.94,480,0,0,0,0.625,0.5746,DO_NOTHING,,0.3,-0.0256,0.3,0.2842,0.2842
10.204,105.9,-2.1543,1.9961,1.6214,-1.469,2.94,480,0,0,0,0.6155,0.5597,DO_NOTHING,,0.2842,-0.0256,0.3,0.3,0.3
10.313,106.0,-2.1555,2.0249,1.6188,-1.469,2.94,480,0,0,0,0.6082,0.5461,DO_NOTHING,,0.3,-0.0256,0.3,0.2842,0.2842
10.42,106.1,-2.1567,2.0544,1.6163,-1.469,2.94,480,0,0,0,0.6022,0.5343,DO_NOTHING,,0.2842,-0.0256,0.2842,0.3,0.3
10.524,106.2,-2.1578,2.0833,1.6137,-1.469,2.94,480,0,0,0,0.5966,0.5226,DO_NOTHING,,0.3,0.0256,0.3,0.3,0.3
10.622,106.3,-2.1592,2.1131,1.6157,-1.469,2.94,480,0,0,0,0.5919,0.5123,DO_NOTHING,,0.2842,0.0256,0.2842,0.3,0.3
10.727,106.4,-2.1608,2.1418,1.6182,-1.469,2.94,480,0,0,0,0.5893,0.5045,DO_NOTHING,,0.2526,-0.0769,0.2526,0.2526,0.2526
10.825,106.5,-2.1616,2.1676,1.6126,-1.469,2.94,480,0,0,0,0.5881,0.4982,DO_NOTHING,,0.2368,-0.0256,0.2368,0.2368,0.2368
10.949,106.6,-2.1623,2.1914,1.6094,-1.469,2.94,480,0,0,0,0.5874,0.4944,DO_NOTHING,,0.1895,-0.0256,0.1895,0.1895,0.1895
11.038,106.7,-2.1628,2.2112,1.6067,-1.469,2.94,480,0,0,0,0.5869,0.4917,DO_NOTHING,,0.1895,-0.0769,0.1895,0.1895,0.1895
11.138,106.8,-2.1628,2.23,1.599,-1.469,2.94,480,0,0,0,0.587,0.49,DO_NOTHING,,0.1579,-0.0769,0.1579,0.1579,0.1579
11.237,106.9,-2.1626,2.2458,1.5917,-1.469,2.94,480,0,0,0,0.5873,0.4893,DO_NOTHING,,0.1579,-0.0256,0.1579,0.1579,0.1579
11.338,107.0,-2.1627,2.2615,1.5891,-1.469,2.94,480,0,0,0,0.5871,0.489,DO_NOTHING,,0.1421,-0.0256,0.1421,0.1421,0.1421
11.436,107.1,-2.1627,2.2757,1.5864,-1.469,2.94,480,0,0,0,0.5871,0.4887,DO_NOTHING,,0.1421,-0.0256,0.1421,0.1421,0.1421
11.54,107.2,-2.1627,2.2897,1.5838,-1.469,2.94,480,0,0,0,0.5871,0.4885,DO_NOTHING,,0.1263,-0.0256,0.1263,0.1263,0.1263
11.638,107.3,-2.1626,2.3026,1.5814,-1.469,2.94,480,0,0,0,0.5872,0.4884,DO_NOTHING,,0.3,0.5897,0.2513,0.2513,0.2513
11.738,107.4,-2.1633,2.3252,1.5863,-1.469,2.94,480,0,0,0,0.5865,0.4881,DO_NOTHING,,0.3,0.5897,0.3,0.3,0.3
11.84,107.5,-2.1677,2.3542,1.6293,-1.469,2.94,480,0,0,0,0.582,0.4877,DO_NOTHING,,0.3,0.5385,0.3,0.3,0.3
11.937,107.6,-2.1744,2.3841,1.684,-1.469,2.94,480,0,0,12,0.5753,0.4864,DO_NOTHING,,0.3,0.641,0.3,0.3,0.3
12.038,107.7,-2.1822,2.4114,1.7413,-1.469,2.94,480,0,0,34,0.5674,0.4845,LIMIT,PolygonLimit,0.3,0.7949,0.3,0.1887,0.1887
12.139,107.8,-2.1895,2.4302,1.788,-1.469,2.94,480,0,0,46,0.5602,0.4823,LIMIT,PolygonLimit,0.3,0.5897,0.3,0.2363,0.2363
12.239,107.9,-2.1978,2.4525,1.8266,-1.469,2.94,480,0,0,53,0.5519,0.4782,DO_NOTHING,,0.3,0.4359,0.3,0.3,0.3
12.343,108.0,-2.2073,2.4795,1.8561,-1.469,2.94,480,0,0,59,0.5425,0.472,DO_NOTHING,,0.2842,0.3333,0.2842,0.2842,0.2842
12.439,108.1,-2.2177,2.5067,1.8857,-1.469,2.94,480,0,0,65,0.532,0.4651,DO_NOTHING,,0.3,0.4359,0.3,0.3,0.3
12.539,108.2,-2.229,2.5339,1.9173,-1.469,2.94,480,0,0,68,0.5209,0.4575,LIMIT,PolygonLimit,0.3,0.5897,0.3,0.2543,0.2543
12.639,108.3,-2.2403,2.5579,1.9582,-1.469,2.94,480,0,0,72,0.5095,0.4511,DO_NOTHING,,0.3,0.3846,0.3,0.3,0.3
12.739,108.4,-2.2522,2.5833,1.9808,-1.469,2.94,480,0,0,74,0.4976,0.442,LIMIT,PolygonLimit,0.3,0.5385,0.3,0.2786,0.2786
12.842,108.5,-2.2644,2.6069,2.0104,-1.469,2.94,480,0,0,77,0.4854,0.4335,DO_NOTHING,,0.3,0.3846,0.3,0.3,0.3
12.946,108.6,-2.2774,2.6319,2.0309,-1.469,2.94,480,0,0,78,0.4723,0.423,DO_NOTHING,,0.3,0.4872,0.3,0.3,0.3
13.05,108.7,-2.291,2.6565,2.0574,-1.469,2.94,480,0,0,80,0.4589,0.4127,DO_NOTHING,,0.2842,0.3846,0.2842,0.2842,0.2842
13.159,108.8,-2.3047,2.6801,2.0807,-1.469,2.94,480,0,0,90,0.4462,0.4019,LIMIT,PolygonLimit,0.3,0.5385,0.3,0.2786,0.2786
13.271,108.9,-2.3214,2.7069,2.1165,-1.469,2.94,480,0,2,98,0.4346,0.3918,LIMIT,PolygonLimit,0.2842,0.5385,0.2842,0.2639,0.2639
13.355,109.0,-2.3297,2.7196,2.1369,-1.469,2.94,480,0,4,105,0.4261,0.3841,SLOWDOWN,PolygonSlow,0.3,0.5385,0.3,0.09,0.09
13.477,109.1,-2.3357,2.7284,2.1502,-1.469,2.94,480,0,5,106,0.4227,0.3806,SLOWDOWN,PolygonSlow,0.2842,0.4872,0.2842,0.0853,0.0853
13.557,109.2,-2.3395,2.7339,2.1578,-1.469,2.94,480,0,7,110,0.4189,0.3771,SLOWDOWN,PolygonSlow,0.2842,0.4872,0.2842,0.0853,0.0853
13.666,109.3,-2.3442,2.7407,2.1671,-1.469,2.94,480,0,7,111,0.4159,0.3736,SLOWDOWN,PolygonSlow,0.2842,0.4872,0.2842,0.0853,0.0853
13.771,109.4,-2.3491,2.7476,2.1769,-1.469,2.94,480,0,8,114,0.413,0.3699,SLOWDOWN,PolygonSlow,0.3,0.5897,0.3,0.09,0.09
13.873,109.5,-2.3543,2.7548,2.1878,-1.469,2.94,480,0,9,116,0.4099,0.3662,SLOWDOWN,PolygonSlow,0.3,0.5385,0.3,0.09,0.09
