t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.113,125.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.208,125.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.314,125.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.399,125.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.511,125.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.613,125.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.722,126.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.825,126.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.926,126.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.026,126.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.131,126.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.232,126.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.345,126.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.447,126.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.544,126.8,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.642,126.9,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.743,127.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.843,127.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
1.943,127.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
2.045,127.3,-2.0,0.0,-0.0,-1.569,2.94,480,0,0,0,0.8217,0.9543,,,,,,,
2.144,127.4,-2.0,0.0003,0.0072,-1.569,2.94,480,0,0,0,0.8238,0.9566,,,0.0,0.7949,0.0,0.0,0.0
2.243,127.5,-2.0,0.0019,0.0454,-1.569,2.94,480,0,0,0,0.8222,0.9557,,,0.0,0.7436,0.0,0.0,0.0
2.351,127.6,-2.0,0.005,0.1131,-1.569,2.94,480,0,0,0,0.8238,0.9581,,,0.0,0.6923,0.0,0.0,0.0
2.453,127.7,-2.0,0.0096,0.1826,-1.569,2.94,480,0,0,0,0.8269,0.9615,,,0.0,0.641,0.0,0.0,0.0
2.558,127.8,-2.0,0.0143,0.2446,-1.569,2.94,480,0,0,0,0.8302,0.9644,,,0.0,1.0,0.0,0.0,0.0
2.654,127.9,-2.0,0.0187,0.3094,-1.569,2.94,480,0,0,0,0.834,0.9672,,,0.0,0.9487,0.0,0.0,0.0
2.757,128.0,-2.0,0.0235,0.3911,-1.569,2.94,480,0,0,0,0.8351,0.9666,,,0.0,0.8974,0.0,0.0,0.0
2.857,128.1,-2.0,0.0271,0.4662,-1.569,2.94,480,0,0,0,0.8383,0.9673,,,0.0,0.7949,0.0,0.0,0.0
