t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
0.046,97.0,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.151,97.1,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.243,97.2,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.343,97.3,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.443,97.4,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.543,97.5,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.644,97.6,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.744,97.7,-2.0,0.0,-0.0,,,480,0,0,0,0.8217,0.9543,,,,,,,
0.843,97.8,-2.0,0.0,-0.0,-0.019,-2.21,480,0,0,0,0.8217,0.9543,,,,,,,
0.954,97.9,-1.9992,-0.0002,-0.006,-0.019,-2.21,480,0,0,0,0.822,0.9546,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.046,98.0,-1.9977,-0.0019,-0.0443,-0.019,-2.21,480,0,0,0,0.8197,0.9512,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.144,98.1,-1.9961,-0.005,-0.1137,-0.019,-2.21,480,0,0,0,0.8152,0.9446,,,0.0158,-1.0,0.0158,0.0158,0.0158
1.249,98.2,-1.9945,-0.0097,-0.207,-0.019,-2.21,480,0,0,0,0.8135,0.9393,,,0.0,-1.0,0.0158,0.0158,0.0158
1.349,98.3,-1.9938,-0.0154,-0.2981,-0.019,-2.21,480,0,0,0,0.8058,0.9266,,,0.0,-1.0,0.0,0.0,0.0
1.449,98.4,-1.9938,-0.0207,-0.385,-0.019,-2.21,480,0,0,0,0.8038,0.9192,,,0.0474,-1.0,0.0,0.0,0.0
1.549,98.5,-1.9925,-0.0252,-0.4609,-0.019,-2.21,480,0,0,0,0.8024,0.9123,,,0.0,-0.8974,0.0474,0.0474,0.0474
1.649,98.6,-1.9905,-0.0277,-0.5281,-0.019,-2.21,480,0,0,0,0.7988,0.9035,,,0.0474,-1.0,0.0,0.0,0.0
1.754,98.7,-1.9887,-0.0291,-0.589,-0.019,-2.21,480,0,0,0,0.796,0.8957,,,0.2053,-1.0,0.0474,0.0474,0.0474
1.854,98.8,-1.9837,-0.0348,-0.6519,-0.019,-2.21,480,0,0,0,0.786,0.8804,,,0.3,-1.0,0.2053,0.2053,0.2053
1.964,98.9,-1.968,-0.05,-0.7164,-0.019,-2.21,480,0,0,0,0.7674,0.8552,,,0.3,-1.0,0.3,0.3,0.3
2.079,99.0,-1.9425,-0.0748,-0.8078,-0.019,-2.21,480,0,0,0,0.7363,0.816,,,0.3,-1.0,0.3,0.3,0.3
2.164,99.1,-1.9264,-0.0926,-0.8677,-0.019,-2.21,480,0,0,0,0.7069,0.778,,,0.2842,-0.9487,0.2842,0.3,0.3
2.285,99.2,-1.905,-0.1196,-0.9487,-0.019,-2.21,480,0,0,0,0.6819,0.7452,,,0.3,-1.0,0.3,0.3,0.3
2.364,99.3,-1.8919,-0.138,-1.0005,-0.019,-2.21,480,0,0,0,0.653,0.708,,,0.3,-1.0,0.3,0.3,0.3
2.472,99.4,-1.8777,-0.1624,-1.0691,-0.019,-2.21,480,0,0,0,0.6289,0.6732,LIMIT,PolygonLimit,0.2842,-1.0,0.2842,0.1421,0.1421
2.572,99.5,-1.8665,-0.1822,-1.1336,-0.019,-2.21,480,0,0,17,0.6086,0.643,LIMIT,PolygonLimit,0.2842,-0.9487,0.2842,0.1421,0.1421
2.683,99.6,-1.859,-0.1957,-1.1767,-0.019,-2.21,480,0,0,30,0.5948,0.6217,LIMIT,PolygonLimit,0.3,-0.7949,0.3,0.1887,0.1887
2.779,99.7,-1.8539,-0.2122,-1.2166,-0.019,-2.21,480,0,0,34,0.5824,0.603,LIMIT,PolygonLimit,0.2842,-0.7949,0.2842,0.1887,0.1887
2.887,99.8,-1.8504,-0.2293,-1.2602,-0.019,-2.21,480,0,0,35,0.5705,0.5823,LIMIT,PolygonLimit,0.3,-0.8974,0.3,0.1671,0.1671
2.985,99.9,-1.8482,-0.2456,-1.3047,-0.019,-2.21,480,0,0,38,0.5608,0.5638,LIMIT,PolygonLimit,0.3,-0.6923,0.3,0.2034,0.2034
3.1,100.0,-1.8465,-0.2658,-1.3506,-0.019,-2.21,480,0,0,41,0.5495,0.5426,LIMIT,PolygonLimit,0.3,-0.6923,0.3,0.2167,0.2167
3.196,100.1,-1.8459,-0.2872,-1.3978,-0.019,-2.21,480,0,0,45,0.5402,0.5224,LIMIT,PolygonLimit,0.3,-0.5897,0.3,0.2543,0.2543
3.303,100.2,-1.8461,-0.3123,-1.4462,-0.019,-2.21,480,0,0,50,0.5304,0.5006,LIMIT,PolygonLimit,0.2842,-0.5385,0.2842,0.2639,0.2639
3.395,100.3,-1.8476,-0.3384,-1.4959,-0.019,-2.21,480,0,0,56,0.5232,0.4809,LIMIT,PolygonLimit,0.3,-0.641,0.3,0.234,0.234
3.498,100.4,-1.8502,-0.362,-1.5467,-0.019,-2.21,480,0,0,61,0.5191,0.4638,DO_NOTHING,,0.3,-0.4872,0.3,0.3,0.3
3.594,100.5,-1.8544,-0.3911,-1.5956,-0.019,-2.21,480,0,0,69,0.5163,0.4482,DO_NOTHING,,0.2842,-0.4359,0.2842,0.2842,0.2842
3.696,100.6,-1.8597,-0.4195,-1.641,-0.019,-2.21,480,0,0,76,0.5166,0.4362,LIMIT,PolygonLimit,0.3,-0.5385,0.3,0.2786,0.2786
3.796,100.7,-1.8663,-0.4473,-1.6907,-0.019,-2.21,480,0,0,54,0.5195,0.4274,DO_NOTHING,,0.3,-0.3846,0.3,0.3,0.3
