#{"t_start": 1784442649.9592724, "env_id": "None"}
r,l,t
-14.794414,76,10.137346
-16.127073,120,24.726491
-10.989696,46,30.688072
-9.6333,11,32.574656
-14.621979,387,78.377713
-10.581943,54,85.276402
-9.5778,44,91.002685
-6.373602,122,105.976429
-0.394519,148,123.844788
-10.238873,40,129.15397
-9.966593,41,134.515854
-9.880213,143,151.852722
-14.616698,42,157.384299
-30.358416,178,178.823499
-18.264128,85,189.473905
-14.106929,47,195.463638
-14.387024,162,215.013347
-20.207629,94,226.606872
-12.289917,122,241.465109
-10.356345,21,244.529954
-12.106215,25,248.05618
-11.789115,20,250.998536
-15.325258,80,260.980734
-9.209726,35,265.674335
-8.852897,40,270.951255
-10.016244,12,272.934179
-9.955515,13,275.075829
-10.132844,35,279.761668
-16.679978,109,293.100172
-10.965462,30,297.208388
-9.484794,25,300.727032
-8.995686,29,304.717652
-9.270053,65,312.93859
-9.834879,23,316.255156
-9.926964,16,318.736843
-9.994587,16,321.198963
-8.748061,93,332.63757
-7.797849,43,338.253916
-6.8407,151,356.476134
-17.918374,80,366.464552
-8.678677,175,387.549493
-16.153436,142,404.758778
-11.149034,154,423.391777
-16.875172,131,439.298591
-10.870759,38,444.370991
-9.857193,31,448.605136
-9.253481,40,453.916128
-7.288208,400,501.293632
-9.28234,52,507.98475
-6.079985,169,528.372991
-11.821781,31,532.58488
-10.237838,4,535.947506
-10.929435,32,540.278284
-10.060236,32,544.64306
-9.422439,19,547.457949
-8.475443,64,555.565585
-9.229727,51,562.13539
-9.432115,59,569.654206
-9.598841,171,590.276235
-14.050047,59,597.761745
-12.285825,42,603.294047
-10.38821,18,605.988806
-11.307727,111,619.56092
-13.427296,80,629.559424
-12.577168,47,635.629341
-11.005054,30,639.752423
-10.405693,29,643.743392
-9.598603,32,648.074906
-9.810662,23,651.377102
-10.764954,68,659.940438
-17.869952,95,671.628321
-3.008237,400,719.014786
-10.589343,40,724.315865
-10.242707,15,728.947036
-10.400648,36,733.779722
-10.244017,35,738.460488
-9.66143,58,745.846216
-12.6096,48,752.065045
-10.103661,1,755.16313
-11.421364,56,762.201876
-10.944927,25,765.7203
-10.395484,32,770.054677
-9.794572,16,772.527508
-8.366584,35,777.227699
4.05065,243,806.278061
-3.650395,143,823.566742
1.05042,206,848.242736
-8.089321,321,886.36712
-21.660621,94,897.954104
-10.161809,1,901.058419
-10.049553,1,904.159021
-6.480634,43,909.706394
-4.813187,120,924.339534
-11.537732,28,928.195969
-10.900399,16,930.681605
-10.681813,16,933.168167
-10.71305,17,935.738122
-9.929233,52,942.416809
-6.810239,66,950.774147
-9.011783,108,964.013468
-13.974325,148,981.91173
-12.847813,41,987.319727
-11.732202,47,993.398234
-11.400033,45,999.244646
-11.60283,59,1006.729061
-9.894049,13,1008.848844
-10.030714,1,1011.955243
-10.631302,39,1016.99441
-10.682643,25,1020.540687
-11.015234,25,1024.065056
-11.426629,63,1032.020936
0.71772,400,1079.450174
-13.946974,89,1090.448621
-10.007465,31,1094.690342
-10.928862,34,1099.28507
-11.102182,33,1103.748504
-10.102885,9,1105.422332
-8.543649,102,1117.934508
-8.853639,51,1124.504962
-7.388189,55,1131.590589
-2.763056,134,1147.873427
-11.354249,30,1151.971532
-11.658417,30,1156.08362
-16.938819,133,1172.232901
-14.624542,46,1178.219203
-13.55044,79,1188.027973
-12.110041,48,1194.257272
-10.764981,26,1197.890134
-11.215205,99,1210.074851
-7.358746,103,1222.726139
-10.080574,33,1227.194724
-10.039261,53,1234.014387
-12.672778,103,1246.639816
-13.390224,73,1255.773853
-15.845758,86,1266.422287
-15.633398,77,1276.078237
-16.594647,71,1284.980058
-15.820921,98,1297.054063
-10.567591,33,1301.520943
-10.058608,1,1304.626553
-12.24878,50,1310.982195
-10.301494,22,1314.134083
-9.950291,32,1318.49524
-9.165888,29,1322.484535
-5.110179,122,1337.341788
-9.943448,12,1339.367544
-9.497743,14,1341.601324
-8.412901,29,1345.629811
-8.137396,29,1349.634494
-9.363985,18,1352.341925
-9.363253,16,1354.797955
-10.040554,1,1357.907825
-17.432552,209,1382.87665
-9.108222,16,1385.341147
-12.71692,146,1403.001868
-11.801065,33,1407.466938
-10.958692,22,1410.644889
-14.678502,87,1421.427694
-12.335854,39,1426.575336
-12.218265,39,1431.732309
-11.342477,50,1438.180109
-8.306929,236,1466.407485
-10.105362,43,1472.03615
-18.450501,236,1500.249749
-11.703203,69,1508.9087
-11.608065,70,1517.695892
-8.565165,98,1529.757341
-11.766686,41,1535.177121
-11.128614,29,1539.163046
-15.504151,121,1553.962566
-23.399771,115,1568.016476
-12.299374,76,1577.481503
-9.205481,20,1580.427165
-8.167424,43,1586.071851
-5.422283,124,1601.176789
-12.913415,140,1618.12905
-8.589345,118,1632.566674
-11.765402,121,1647.308868
-14.366426,164,1667.135634
-11.657658,69,1675.790793
-12.375107,46,1681.764443
-16.966283,123,1696.793235
-10.150743,1,1699.908477
-27.973262,400,1747.235363
-18.783401,117,1761.543953
-15.374688,91,1772.772326
-25.24954,400,1820.139802
-10.073631,1,1823.241552
-16.564333,134,1839.403952
-11.591885,78,1849.070656
-10.246891,20,1852.015238
-10.049028,1,1855.133489
-14.620896,131,1870.98656
-19.891087,174,1891.997148
-10.080183,1,1895.107097
-13.374031,400,1942.394668
-20.547537,384,1987.996894
-12.807361,95,1999.73775
-15.837383,400,2047.176559
-11.651103,79,2057.026881
-12.152037,99,2069.189287
-15.008257,180,2090.896413
-11.582883,99,2103.082899
-13.21187,400,2150.470148
-12.37809,96,2162.263125
-12.516928,112,2175.988378
-14.347913,169,2196.446964
-12.41891,121,2211.245417
-14.705967,179,2232.777856
-12.295963,103,2245.430183
-14.524599,166,2265.418859
-14.107509,163,2285.103769
-14.466038,132,2301.093729
-13.982386,400,2348.504099
-20.732471,400,2395.910878
-14.267789,106,2408.879668
-14.941733,151,2427.160312
-15.309522,135,2443.57436
-17.29451,191,2466.553152
-10.088043,1,2469.657669
-12.441692,34,2474.159684
-10.08497,1,2477.276759
-23.517729,400,2524.564333
-13.32952,62,2532.419192
-11.098313,36,2537.248578
-9.115104,37,2542.180907
-8.849344,36,2546.994474
-9.296062,22,2550.162341
-8.942168,81,2560.234559
-12.686117,29,2564.237212
-14.929222,56,2571.383486
-11.379098,23,2574.68327
-10.675998,33,2581.407227
-11.685397,43,2587.041824
-11.135098,31,2591.257283
-10.217628,9,2595.212471
-12.056688,50,2601.672143
-11.527869,33,2606.113897
-11.65826,33,2610.571353
-14.986613,189,2633.263535
-11.070799,44,2639.041792
-10.74539,33,2643.480778
-10.83041,34,2648.075212
-10.715076,111,2661.679878
-9.531254,133,2677.846796
-17.93004,154,2696.548655
-12.006526,114,2710.466763
-22.643337,170,2730.981903
-13.959587,103,2743.63748
-9.762447,20,2746.593527
-9.355251,100,2758.864409
-11.519973,32,25859.74491
-16.161339,137,25876.677626
-13.559382,64,25884.875317
-11.89174,37,25889.830287
-10.078333,1,25893.009748
