#{"t_start": 1784439152.8793128, "env_id": "None"}
r,l,t
-11.67242,42,6.979405
-10.098583,9,8.578396
-9.91539,46,14.355079
-11.959458,37,19.110145
-10.524231,13,21.182425
-11.00404,15,23.461434
-11.518115,16,25.878926
-15.801219,58,33.031902
-10.947771,35,37.577515
-9.351294,7,38.961782
-7.360084,35,43.498253
-6.898609,46,49.280044
-9.85465,15,51.571961
-11.720654,23,54.763244
-11.307538,8,56.242594
-12.314704,22,59.336836
-10.88116,14,61.503288
-10.380305,21,64.441312
-8.456417,33,68.819535
-6.078241,66,76.987538
-10.073309,12,78.966
-10.672649,8,80.449019
-11.206432,9,82.06838
-12.456731,17,84.583728
-18.407273,52,91.019371
-13.591291,38,95.920148
-9.207699,18,98.541635
-5.440224,65,106.543441
-8.484275,18,109.171195
-10.665615,36,113.851449
-15.621548,51,120.19594
-13.643375,22,123.277139
-13.680432,27,126.913515
-10.358353,19,129.640248
-8.20549,32,133.878394
-6.915852,28,137.614201
-8.072669,18,140.311765
-9.328744,67,148.447837
-13.04992,18,151.092721
-13.226019,21,154.075611
-11.705428,22,157.14261
-9.014963,19,159.900526
-8.056514,13,161.974737
-4.01888,80,171.589414
-6.49795,51,177.946279
-7.567566,28,181.707381
-5.186295,36,186.343885
-9.692553,16,188.820873
-11.696352,12,190.743679
-16.770469,38,195.644381
-17.27669,45,201.30454
-9.747143,18,203.931836
-7.368661,63,211.651942
-8.724782,23,214.850869
-9.397907,19,217.595087
-10.843385,32,221.814497
-14.215583,52,228.250345
-11.483514,21,231.240412
-13.857164,62,238.826481
-10.676341,17,241.334756
-11.616587,18,243.975252
-12.214964,16,246.373624
-18.294761,79,255.85927
-15.901343,64,263.679251
-14.491886,49,269.76582
-10.208962,12,271.704123
-9.430465,7,273.46275
-8.233046,19,276.003157
-4.064162,116,289.654121
-9.948342,8,291.184835
-10.474845,8,292.685136
-19.141199,93,303.747787
-19.852902,90,314.482226
-18.55148,83,324.466406
-11.155551,53,331.052843
-9.604722,8,332.558536
-7.651094,50,338.958068
-5.028023,151,356.557905
-12.324077,27,360.203289
-11.179342,20,363.080846
-9.793521,86,373.365234
-4.629775,128,388.354235
-20.857713,107,401.149992
-10.237067,34,405.591569
-2.347909,382,449.144809
-11.742543,59,456.393367
-8.601786,43,461.800999
-4.999603,126,476.562758
-13.197977,84,486.673753
-11.801899,64,494.501157
-11.641295,51,500.826287
-12.042858,47,506.73579
-11.21858,41,511.93339
-10.498638,62,519.510538
-16.827971,166,538.932058
-9.40846,52,545.404724
-9.666457,28,549.13746
-9.795598,29,552.981217
-9.448012,74,561.961752
-9.943003,18,564.588639
-9.762845,17,567.099361
-9.351699,35,571.658651
-6.04507,102,583.873777
-10.165921,13,585.873616
-10.697466,6,587.152868
-12.59838,19,589.905107
-14.504689,56,596.79872
-12.957911,35,601.334322
-12.925309,37,606.120889
-13.310908,41,611.336758
-31.868438,228,637.664572
-8.787281,174,657.884866
-8.921348,16,660.325537
-24.814524,389,704.884552
-6.228888,158,723.364475
-22.97993,284,756.076144
-12.98383,28,759.853204
-10.481942,24,763.170883
-9.10668,31,767.361369
-10.382502,20,770.236537
-10.521244,20,773.115846
-11.561572,35,777.694718
-11.284986,14,779.88425
-14.417945,69,788.326636
-9.92468,19,791.085684
-10.913429,18,793.746455
-11.152297,19,796.484044
-11.451806,27,800.131482
-11.104719,16,802.558377
-11.741492,22,805.605253
-15.326104,66,813.662124
-11.48298,21,819.088738
-10.850086,25,822.489246
-9.51122,16,824.86785
-9.401412,17,827.391152
-8.616944,32,831.64261
-10.217212,340,871.396746
-16.441586,166,890.765027
-8.14973,52,897.191637
-4.516161,96,908.670169
-4.680121,122,923.061281
-13.508067,96,934.524771
-12.700297,58,941.697541
-10.625602,32,945.896562
-8.566017,75,955.0337
-9.417752,75,964.135993
-14.744378,87,974.550581
-30.190761,400,1020.440682
-38.353358,273,1051.853526
-10.347238,41,1057.108571
-7.15351,96,1068.519156
-10.710185,18,1071.150949
-10.904645,18,1073.801845
-11.489471,25,1077.229384
-15.749152,82,1087.146166
-12.965095,80,1096.779532
-10.463457,32,1101.014106
-9.917514,16,1103.40845
-6.72419,181,1124.426928
-4.902147,140,1140.800445
-14.481509,400,1186.607899
-11.243942,49,1192.743248
-10.617537,66,1200.778123
-11.895069,94,1212.127073
-11.908516,85,1222.345571
-11.916584,78,1231.720377
-11.730048,83,1241.621736
-12.157581,76,1250.798591
-17.392091,400,1296.632677
-15.268384,57,1303.671917
-14.92074,62,1311.250181
-15.407089,86,1321.545855
-18.920199,83,1331.616585
-13.866775,83,1341.567129
-20.024716,196,1364.377019
-13.709333,94,1375.580642
-10.583355,23,1378.759006
-9.92164,59,1386.100271
-10.644482,42,1391.449959
-10.908812,35,1395.994783
-13.27705,77,1405.283956
-16.601304,89,1415.928626
-28.816308,400,1461.698023
-16.25898,88,1472.216391
-18.955294,111,1485.38683
-18.915211,194,1507.898608
-29.424629,400,1553.65178
-24.575289,400,1599.288155
-26.146784,400,1644.908628
-26.573901,400,1690.773473
-26.917531,400,1736.373
-26.622378,400,1782.095591
2.227797,400,1828.646995
-10.357247,278,1861.082986
-13.236539,92,1872.076263
-14.37787,88,1882.605221
-14.737357,100,1894.449392
-15.774862,106,1906.999407
-19.55009,185,1928.446252
-10.712312,29,1932.307958
-15.496511,165,1951.494638
-5.305719,400,1997.215492
-10.764887,126,2012.033175
-10.394741,72,2020.75207
-8.063504,93,2031.974198
-4.594833,111,2045.576539
-9.657722,10,2047.347554
-7.694463,41,2052.74859
-5.440704,56,2059.892077
-10.796915,13,2062.012652
-13.276186,56,2069.15762
-10.428866,17,2071.758444
-12.538416,28,2075.639714
-11.80115,14,2077.882797
-16.116767,45,2083.734328
-12.520709,26,2087.384259
-14.246462,40,2092.661504
-15.129745,60,2100.281793
-9.658568,54,2107.213437
-6.978482,45,2113.06049
42.330973,331,2152.32629
40.804733,338,2192.442701
42.260874,312,2229.458039
43.424936,304,2265.579335
42.648992,306,2301.87271
-2.456436,90,2313.014586
-9.535646,6,2314.31394
-7.65044,29,2318.318039
-6.845253,39,2323.499518
-8.627816,22,2326.686392
-9.127149,19,2329.521014
-9.327793,19,2332.322408
-9.340883,18,2335.023909
-1.414523,117,2349.273118
-7.313927,197,2372.92323
-12.459078,43,2378.555543
-9.820418,7,2379.973541
-9.533445,54,2386.91358
-9.417709,9,2388.564123
-8.417279,13,2390.688089
-4.041783,93,2402.149209
-9.36417,23,2405.445254
-8.817829,25,2408.975903
-9.363098,7,2410.383058
-1.675302,105,2423.299632
-11.988937,62,2431.16789
-9.644377,11,2433.040481
-9.033416,21,2436.122191
1.675895,302,2471.960289
-5.096232,400,2519.263945
-10.963147,331,2558.482997
-34.311608,321,2596.553962
-16.226612,57,2603.82975
-18.811964,79,2613.704432
-11.174786,54,2620.600448
-3.866256,98,2632.675575
-5.649879,107,2645.783772
-3.423958,288,2680.107926
-22.237865,111,2693.722772
-10.004783,35,2698.419039
-5.771899,73,2707.578916
-9.864611,18,2710.29644
-7.875206,94,2721.88465
-11.818207,20,2724.831901
-17.566734,87,2735.623201
-10.159592,1,2738.719716
2.454072,400,2785.892757
5.791923,400,2833.142773
3.373236,400,2880.385354
1.643391,400,2927.622555
-1.171983,400,2974.883562
-4.838255,400,3022.186606
